Season,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2014-2015,26,2015-03-22,Wiener Neustadt,Rapid Wien,0,1,0.0
2014-2015,27,2015-04-04,RB Salzburg,Austria Wien,3,1,1.0
2014-2015,27,2015-04-04,Rapid Wien,Wolfsberger AC,4,1,1.0
2014-2015,27,2015-04-04,Admira,Grödig,2,3,0.0
2014-2015,27,2015-04-05,Ried,Sturm Graz,1,2,0.0
2014-2015,28,2015-04-11,Sturm Graz,SCR Altach,5,0,1.0
2014-2015,28,2015-04-11,Wiener Neustadt,Ried,0,1,0.0
2014-2015,28,2015-04-11,Grödig,Austria Wien,1,1,0.5
2014-2015,28,2015-04-11,Wolfsberger AC,Admira,2,0,1.0
2014-2015,28,2015-04-12,Rapid Wien,RB Salzburg,3,3,0.5
2014-2015,27,2015-04-15,SCR Altach,Wiener Neustadt,3,1,1.0
2014-2015,29,2015-04-18,Ried,Rapid Wien,0,1,0.0
2014-2015,29,2015-04-18,RB Salzburg,Wiener Neustadt,6,0,1.0
2014-2015,29,2015-04-18,Admira,SCR Altach,2,2,0.5
2014-2015,29,2015-04-18,Sturm Graz,Grödig,2,1,1.0
2014-2015,29,2015-04-19,Austria Wien,Wolfsberger AC,1,1,0.5
2014-2015,30,2015-04-25,RB Salzburg,Ried,2,1,1.0
2014-2015,30,2015-04-25,Wiener Neustadt,Sturm Graz,4,4,0.5
2014-2015,30,2015-04-25,Wolfsberger AC,Grödig,2,1,1.0
2014-2015,30,2015-04-25,Rapid Wien,Admira,1,1,0.5
2014-2015,30,2015-04-26,SCR Altach,Austria Wien,2,0,1.0
2014-2015,31,2015-05-02,Wolfsberger AC,SCR Altach,2,0,1.0
2014-2015,31,2015-05-02,Admira,Ried,1,0,1.0
2014-2015,31,2015-05-02,Grödig,RB Salzburg,0,3,0.0
2014-2015,31,2015-05-02,Austria Wien,Wiener Neustadt,2,1,1.0
2014-2015,31,2015-05-03,Sturm Graz,Rapid Wien,2,2,0.5
2014-2015,32,2015-05-09,Austria Wien,Sturm Graz,0,0,0.5
2014-2015,32,2015-05-09,Wiener Neustadt,Grödig,2,4,0.0
2014-2015,32,2015-05-09,Ried,Wolfsberger AC,4,0,1.0
2014-2015,32,2015-05-09,RB Salzburg,Admira,4,0,1.0
2014-2015,32,2015-05-10,SCR Altach,Rapid Wien,1,3,0.0
2014-2015,33,2015-05-16,SCR Altach,RB Salzburg,2,2,0.5
2014-2015,33,2015-05-16,Wolfsberger AC,Sturm Graz,1,0,1.0
2014-2015,33,2015-05-16,Admira,Wiener Neustadt,0,0,0.5
2014-2015,33,2015-05-16,Grödig,Ried,3,2,1.0
2014-2015,33,2015-05-17,Rapid Wien,Austria Wien,4,1,1.0
2014-2015,34,2015-05-19,Ried,SCR Altach,4,1,1.0
2014-2015,34,2015-05-20,Wiener Neustadt,Wolfsberger AC,2,0,1.0
2014-2015,34,2015-05-20,Sturm Graz,RB Salzburg,0,0,0.5
2014-2015,34,2015-05-20,Austria Wien,Admira,0,1,0.0
2014-2015,35,2015-05-24,Admira,Sturm Graz,1,2,0.0
2014-2015,35,2015-05-24,RB Salzburg,Wolfsberger AC,3,0,1.0
2014-2015,35,2015-05-24,SCR Altach,Grödig,2,0,1.0
2014-2015,35,2015-05-24,Ried,Austria Wien,0,2,0.0
2014-2015,35,2015-05-24,Rapid Wien,Wiener Neustadt,0,0,0.5
2014-2015,34,2015-05-27,Grödig,Rapid Wien,0,2,0.0
2014-2015,36,2015-05-31,Sturm Graz,Ried,0,0,0.5
2014-2015,36,2015-05-31,Wolfsberger AC,Rapid Wien,0,5,0.0
2014-2015,36,2015-05-31,Grödig,Admira,0,1,0.0
2014-2015,36,2015-05-31,Austria Wien,RB Salzburg,1,1,0.5
2014-2015,36,2015-05-31,Wiener Neustadt,SCR Altach,0,1,0.0
