Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Regular season,17,2016-11-27,Wisła Płock,Piast Gliwice,0,0,0.5
2016-2017,Regular season,17,2016-11-27,Śląsk Wrocław,Legia Warsaw,0,4,0.0
2016-2017,Regular season,17,2016-11-28,Lechia Gdańsk,Górnik Łęczna,3,0,1.0
2016-2017,Regular season,18,2016-12-02,Nieciecza,Zagłębie Lubin,0,1,0.0
2016-2017,Regular season,18,2016-12-02,Legia Warsaw,Wisła Płock,2,2,0.5
2016-2017,Regular season,18,2016-12-03,Piast Gliwice,Korona Kielce,1,0,1.0
2016-2017,Regular season,18,2016-12-03,Śląsk Wrocław,Pogoń Szczecin,1,1,0.5
2016-2017,Regular season,18,2016-12-03,Wisła Kraków,Lechia Gdańsk,3,0,1.0
2016-2017,Regular season,18,2016-12-04,Cracovia,Górnik Łęczna,1,1,0.5
2016-2017,Regular season,18,2016-12-04,Jagiellonia,Lech Poznań,2,1,1.0
2016-2017,Regular season,18,2016-12-05,Ruch Chorzów,Arka Gdynia,1,2,0.0
2016-2017,Regular season,19,2016-12-09,Pogoń Szczecin,Zagłębie Lubin,1,1,0.5
2016-2017,Regular season,19,2016-12-09,Lechia Gdańsk,Śląsk Wrocław,3,0,1.0
2016-2017,Regular season,19,2016-12-10,Górnik Łęczna,Nieciecza,3,0,1.0
2016-2017,Regular season,19,2016-12-10,Wisła Płock,Ruch Chorzów,4,3,1.0
2016-2017,Regular season,19,2016-12-10,Wisła Kraków,Cracovia,1,1,0.5
2016-2017,Regular season,19,2016-12-11,Lech Poznań,Korona Kielce,1,0,1.0
2016-2017,Regular season,19,2016-12-11,Piast Gliwice,Legia Warsaw,1,5,0.0
2016-2017,Regular season,19,2016-12-12,Arka Gdynia,Jagiellonia,2,3,0.0
2016-2017,Regular season,20,2016-12-16,Nieciecza,Pogoń Szczecin,2,0,1.0
