Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2015-2016,Regular season,22,2016-01-02,Dundee,Dundee United,2,1,1.0
2015-2016,Regular season,22,2016-01-02,Celtic,Partick Thistle,1,0,1.0
2015-2016,Regular season,22,2016-01-02,Inverness CT,Ross County,2,0,1.0
2015-2016,Regular season,22,2016-01-02,Motherwell,Hamilton,3,3,0.5
2015-2016,Regular season,22,2016-01-02,Kilmarnock,Hearts,2,2,0.5
2015-2016,Regular season,23,2016-01-15,Dundee United,Celtic,1,4,0.0
2015-2016,Regular season,23,2016-01-16,St Johnstone,Hamilton,0,0,0.5
2015-2016,Regular season,23,2016-01-16,Hearts,Motherwell,6,0,1.0
2015-2016,Regular season,23,2016-01-16,Partick Thistle,Dundee,2,4,0.0
2015-2016,Regular season,23,2016-01-16,Kilmarnock,Inverness CT,2,1,1.0
2015-2016,Regular season,23,2016-01-17,Ross County,Aberdeen,2,3,0.0
2015-2016,Regular season,17,2016-01-19,Celtic,Hamilton,8,1,1.0
2015-2016,Regular season,24,2016-01-22,Aberdeen,Dundee,1,0,1.0
2015-2016,Regular season,24,2016-01-23,Dundee United,Kilmarnock,5,1,1.0
2015-2016,Regular season,24,2016-01-23,Celtic,St Johnstone,3,1,1.0
2015-2016,Regular season,24,2016-01-23,Inverness CT,Partick Thistle,0,0,0.5
2015-2016,Regular season,24,2016-01-23,Motherwell,Ross County,1,2,0.0
2015-2016,Regular season,24,2016-01-24,Hamilton,Hearts,0,0,0.5
2015-2016,Regular season,25,2016-01-30,Kilmarnock,Hamilton,0,1,0.0
2015-2016,Regular season,25,2016-01-30,Dundee,Motherwell,2,2,0.5
2015-2016,Regular season,17,2016-02-02,Partick Thistle,Motherwell,1,0,1.0
2015-2016,Regular season,25,2016-02-03,Aberdeen,Celtic,2,1,1.0
2015-2016,Regular season,22,2016-02-06,St Johnstone,Aberdeen,3,4,0.0
2015-2016,Regular season,25,2016-02-10,Ross County,Hearts,0,3,0.0
2015-2016,Regular season,26,2016-02-12,Dundee,St Johnstone,2,0,1.0
2015-2016,Regular season,26,2016-02-13,Celtic,Ross County,2,0,1.0
2015-2016,Regular season,26,2016-02-13,Motherwell,Kilmarnock,0,2,0.0
2015-2016,Regular season,26,2016-02-13,Hamilton,Dundee United,0,0,0.5
2015-2016,Regular season,26,2016-02-15,Inverness CT,Aberdeen,3,1,1.0
2015-2016,Regular season,20,2016-02-16,Dundee United,Motherwell,0,3,0.0
2015-2016,Regular season,27,2016-02-20,St Johnstone,Motherwell,2,1,1.0
2015-2016,Regular season,27,2016-02-20,Kilmarnock,Dundee,0,0,0.5
2015-2016,Regular season,27,2016-02-20,Ross County,Hamilton,2,1,1.0
2015-2016,Regular season,27,2016-02-20,Celtic,Inverness CT,3,0,1.0
2015-2016,Regular season,27,2016-02-20,Dundee United,Hearts,2,1,1.0
2015-2016,Regular season,20,2016-02-23,Partick Thistle,St Johnstone,2,0,1.0
2015-2016,Regular season,28,2016-02-26,Hamilton,Celtic,1,1,0.5
2015-2016,Regular season,28,2016-02-27,Hearts,Kilmarnock,1,0,1.0
2015-2016,Regular season,28,2016-02-27,Dundee,Inverness CT,1,1,0.5
2015-2016,Regular season,28,2016-02-27,Motherwell,Partick Thistle,3,1,1.0
2015-2016,Regular season,28,2016-02-27,Aberdeen,St Johnstone,1,1,0.5
2015-2016,Regular season,28,2016-02-27,Ross County,Dundee United,0,3,0.0
2015-2016,Regular season,17,2016-03-01,Hearts,Inverness CT,2,0,1.0
2015-2016,Regular season,29,2016-03-01,Kilmarnock,Ross County,0,2,0.0
2015-2016,Regular season,29,2016-03-02,St Johnstone,Partick Thistle,1,2,0.0
2015-2016,Regular season,29,2016-03-02,Celtic,Dundee,0,0,0.5
2015-2016,Regular season,29,2016-03-02,Dundee United,Aberdeen,0,1,0.0
2015-2016,Regular season,26,2016-03-05,Hearts,Partick Thistle,1,0,1.0
2015-2016,Regular season,29,2016-03-05,Hamilton,Motherwell,0,1,0.0
2015-2016,Regular season,27,2016-03-08,Partick Thistle,Aberdeen,1,2,0.0
2015-2016,Regular season,25,2016-03-09,St Johnstone,Inverness CT,1,0,1.0
2015-2016,Regular season,30,2016-03-11,Motherwell,Dundee United,2,1,1.0
2015-2016,Regular season,30,2016-03-12,Partick Thistle,Celtic,1,2,0.0
2015-2016,Regular season,30,2016-03-12,Inverness CT,Hamilton,0,1,0.0
2015-2016,Regular season,30,2016-03-12,Aberdeen,Kilmarnock,2,1,1.0
2015-2016,Regular season,30,2016-03-12,Dundee,Hearts,0,1,0.0
2015-2016,Regular season,30,2016-03-16,St Johnstone,Ross County,1,1,0.5
2015-2016,Regular season,31,2016-03-19,Kilmarnock,Celtic,0,1,0.0
2015-2016,Regular season,31,2016-03-19,Motherwell,Aberdeen,2,1,1.0
2015-2016,Regular season,31,2016-03-19,Hearts,St Johnstone,0,3,0.0
2015-2016,Regular season,31,2016-03-19,Ross County,Inverness CT,0,3,0.0
2015-2016,Regular season,31,2016-03-19,Hamilton,Partick Thistle,1,2,0.0
2015-2016,Regular season,31,2016-03-20,Dundee United,Dundee,2,2,0.5
2015-2016,Regular season,32,2016-04-02,Celtic,Hearts,3,1,1.0
2015-2016,Regular season,32,2016-04-02,Partick Thistle,Kilmarnock,0,0,0.5
2015-2016,Regular season,32,2016-04-02,St Johnstone,Dundee United,0,1,0.0
2015-2016,Regular season,32,2016-04-02,Dundee,Ross County,5,2,1.0
2015-2016,Regular season,32,2016-04-02,Inverness CT,Motherwell,1,2,0.0
2015-2016,Regular season,32,2016-04-03,Aberdeen,Hamilton,3,0,1.0
2015-2016,Regular season,21,2016-04-05,Dundee,Celtic,0,0,0.5
2015-2016,Regular season,25,2016-04-05,Partick Thistle,Dundee United,1,0,1.0
2015-2016,Regular season,33,2016-04-08,Hearts,Aberdeen,2,1,1.0
2015-2016,Regular season,33,2016-04-09,Motherwell,Celtic,1,2,0.0
2015-2016,Regular season,33,2016-04-09,Dundee United,Inverness CT,0,2,0.0
2015-2016,Regular season,33,2016-04-09,Ross County,Partick Thistle,1,0,1.0
2015-2016,Regular season,33,2016-04-09,Kilmarnock,St Johnstone,3,0,1.0
2015-2016,Regular season,33,2016-04-09,Hamilton,Dundee,2,1,1.0
2015-2016,Regular season,29,2016-04-12,Inverness CT,Hearts,0,0,0.5
2015-2016,Championship round,1,2016-04-22,St Johnstone,Aberdeen,3,0,1.0
2015-2016,Championship round,1,2016-04-23,Motherwell,Hearts,1,0,1.0
2015-2016,Relegation round,1,2016-04-23,Partick Thistle,Dundee,1,2,0.0
2015-2016,Relegation round,1,2016-04-24,Inverness CT,Kilmarnock,3,1,1.0
2015-2016,Championship round,1,2016-04-24,Celtic,Ross County,1,1,0.5
2015-2016,Relegation round,1,2016-04-24,Dundee United,Hamilton,1,3,0.0
2015-2016,Championship round,2,2016-04-30,Hearts,Celtic,1,3,0.0
2015-2016,Championship round,2,2016-04-30,Aberdeen,Motherwell,4,1,1.0
2015-2016,Championship round,2,2016-04-30,Ross County,St Johnstone,0,1,0.0
2015-2016,Relegation round,2,2016-04-30,Partick Thistle,Inverness CT,1,4,0.0
