Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2000-2001,First round,2000-09-21,Hertha BSC,Zimbru Chișinău,de,md,2,0,1.0
2000-2001,First round,2000-09-26,Inter Bratislava,Roda JC,sk,nl,2,1,1.0
2000-2001,First round,2000-09-26,1860 Munich,FK Drnovice,de,cz,1,0,1.0
2000-2001,First round,2000-09-26,Grazer AK,Košice,at,sk,0,0,0.5
2000-2001,First round,2000-09-26,Udinese,KS Polonia Warsaw,it,pl,2,0,1.0
2000-2001,First round,2000-09-26,Viborg,CSKA Moscow,dk,ru,1,0,1.0
2000-2001,First round,2000-09-26,Bordeaux,Lierse,fr,be,5,1,1.0
2000-2001,First round,2000-09-28,Rijeka,Celta Vigo,hr,es,0,1,0.0
2000-2001,First round,2000-09-28,Gaziantepspor,Alavés,tr,es,3,4,0.0
2000-2001,First round,2000-09-28,Wisła Kraków,Zaragoza,pl,es,4,1,1.0
2000-2001,First round,2000-09-28,Nantes,Kryvbas Kryvyi Rih,fr,ua,5,0,1.0
2000-2001,First round,2000-09-28,Herfølge BK,AIK Stockholm,dk,se,1,1,0.5
2000-2001,First round,2000-09-28,Naftex,Lokomotiv Moscow,bg,ru,0,0,0.5
2000-2001,First round,2000-09-28,Rayo Vallecano,Molde,es,no,1,1,0.5
2000-2001,First round,2000-09-28,Amica Wronki,Alania,pl,ru,2,0,1.0
2000-2001,First round,2000-09-28,St. Gallen,Chelsea,ch,eng,2,0,1.0
2000-2001,First round,2000-09-28,Ajax,Gent,nl,be,3,0,1.0
2000-2001,First round,2000-09-28,Genk,Zürich,be,ch,2,0,1.0
2000-2001,First round,2000-09-28,Liverpool,Rapid București,eng,ro,0,0,0.5
2000-2001,First round,2000-09-28,Roma,ND Gorica,it,si,7,0,1.0
2000-2001,First round,2000-09-28,Iraklis,Gueugnon,gr,fr,1,0,1.0
2000-2001,First round,2000-09-28,Slovan Liberec,Norrköping,cz,se,2,1,1.0
2000-2001,First round,2000-09-28,Brann,Basel,no,ch,4,4,0.5
2000-2001,First round,2000-09-28,Parma,FK Pobeda,it,mk,4,0,1.0
2000-2001,First round,2000-09-28,AEK Athens,Vasas,gr,hu,2,0,1.0
2000-2001,First round,2000-09-28,Örgryte,Rapid Wien,se,at,1,1,0.5
2000-2001,First round,2000-09-28,AB,Slavia Prague,dk,cz,0,2,0.0
2000-2001,First round,2000-09-28,Fiorentina,Tirol Innsbruck,it,at,2,2,0.5
2000-2001,First round,2000-09-28,Feyenoord,Dunaújváros FC,nl,hu,3,1,1.0
2000-2001,First round,2000-09-28,Red Star,Leicester City,rs,eng,3,1,1.0
2000-2001,First round,2000-09-28,APOEL FC,Club Brugge,cy,be,0,1,0.0
2000-2001,First round,2000-09-28,Werder Bremen,Antalyaspor,de,tr,6,0,1.0
2000-2001,First round,2000-09-28,Torpedo Moscow,Lausanne-Sport,ru,ch,0,2,0.0
2000-2001,First round,2000-09-28,Espanyol,NK Olimpija Ljubljana,es,si,2,0,1.0
2000-2001,First round,2000-09-28,Inter,Ruch Chorzów,it,pl,4,1,1.0
2000-2001,First round,2000-09-28,Beitar Jerusalem,PAOK,il,gr,3,3,0.5
2000-2001,First round,2000-09-28,Osijek,Brøndby,hr,dk,0,0,0.5
2000-2001,First round,2000-09-28,Porto,Partizan,pt,rs,1,0,1.0
2000-2001,First round,2000-09-28,Dinamo Zagreb,ŠK Slovan Bratislava,hr,sk,1,1,0.5
2000-2001,First round,2000-09-28,HJK Helsinki,Celtic,fi,sct,2,1,1.0
2000-2001,First round,2000-09-28,Hearts,Stuttgart,sct,de,3,2,1.0
2000-2001,First round,2000-09-28,Benfica,Halmstad,pt,se,2,2,0.5
2000-2001,First round,2000-09-28,Dynamo Moscow,Lillestrøm,ru,no,2,1,1.0
2000-2001,First round,2000-09-28,Boavista,Vorskla Poltava,pt,ua,2,1,1.0
2000-2001,First round,2000-09-28,Maccabi Haifa FC,Vitesse,il,nl,2,1,1.0
2000-2001,First round,2000-09-28,MTK Budapest,CSKA Sofia,hu,bg,0,1,0.0
2000-2001,First round,2000-09-28,OFI Crete,Napredak Kruševac,gr,rs,6,0,1.0
2000-2001,Second round,2000-10-23,Iraklis,Kaiserslautern,gr,de,1,3,0.0
2000-2001,Second round,2000-10-24,Werder Bremen,Genk,de,be,4,1,1.0
2000-2001,Second round,2000-10-24,Udinese,PAOK,it,gr,1,0,1.0
2000-2001,Second round,2000-10-24,Osijek,Rapid Wien,hr,at,2,1,1.0
2000-2001,Second round,2000-10-26,Wisła Kraków,Porto,pl,pt,0,0,0.5
2000-2001,Second round,2000-10-26,Lokomotiv Moscow,Inter Bratislava,ru,sk,1,0,1.0
2000-2001,Second round,2000-10-26,Hertha BSC,Amica Wronki,de,pl,3,1,1.0
2000-2001,Second round,2000-10-26,Basel,Feyenoord,ch,nl,1,2,0.0
2000-2001,Second round,2000-10-26,Red Star,Celta Vigo,rs,es,1,0,1.0
2000-2001,Second round,2000-10-26,Nantes,MTK Budapest,fr,hu,2,1,1.0
2000-2001,Second round,2000-10-26,Bordeaux,Celtic,fr,sct,1,1,0.5
2000-2001,Second round,2000-10-26,Rayo Vallecano,Viborg,es,dk,1,0,1.0
2000-2001,Second round,2000-10-26,AEK Athens,Herfølge BK,gr,dk,5,0,1.0
2000-2001,Second round,2000-10-26,Parma,Dinamo Zagreb,it,hr,2,0,1.0
2000-2001,Second round,2000-10-26,Lillestrøm,Alavés,no,es,1,3,0.0
2000-2001,Second round,2000-10-26,Liverpool,Slovan Liberec,eng,cz,1,0,1.0
2000-2001,Second round,2000-10-26,Halmstad,1860 Munich,se,de,3,2,1.0
2000-2001,Second round,2000-10-26,OFI Crete,Slavia Prague,gr,cz,2,2,0.5
2000-2001,Second round,2000-10-26,Espanyol,Grazer AK,es,at,4,0,1.0
2000-2001,Second round,2000-10-26,Lausanne-Sport,Ajax,ch,nl,1,0,1.0
2000-2001,Second round,2000-10-26,Tirol Innsbruck,Stuttgart,at,de,1,0,1.0
2000-2001,Second round,2000-10-26,Boavista,Roma,pt,it,0,1,0.0
2000-2001,Second round,2000-10-26,Club Brugge,St. Gallen,be,ch,2,1,1.0
2000-2001,Second round,2000-10-26,Inter,Vitesse,it,nl,0,0,0.5
2000-2001,Second round,2000-11-07,Rapid Wien,Osijek,at,hr,0,2,0.0
2000-2001,Second round,2000-11-07,1860 Munich,Halmstad,de,se,3,1,1.0
2000-2001,Second round,2000-11-07,Herfølge BK,AEK Athens,dk,gr,2,1,1.0
2000-2001,Second round,2000-11-07,Amica Wronki,Hertha BSC,pl,de,1,1,0.5
2000-2001,Second round,2000-11-09,MTK Budapest,Nantes,hu,fr,0,1,0.0
2000-2001,Second round,2000-11-09,Roma,Boavista,it,pt,1,1,0.5
2000-2001,Second round,2000-11-09,PAOK,Udinese,gr,it,3,0,1.0
2000-2001,Second round,2000-11-09,Ajax,Lausanne-Sport,nl,ch,2,2,0.5
2000-2001,Second round,2000-11-09,Inter Bratislava,Lokomotiv Moscow,sk,ru,1,2,0.0
2000-2001,Second round,2000-11-09,Celtic,Bordeaux,sct,fr,1,2,0.0
2000-2001,Second round,2000-11-09,Porto,Wisła Kraków,pt,pl,3,0,1.0
2000-2001,Second round,2000-11-09,Celta Vigo,Red Star,es,rs,5,3,1.0
2000-2001,Second round,2000-11-09,Alavés,Lillestrøm,es,no,2,2,0.5
2000-2001,Second round,2000-11-09,Dinamo Zagreb,Parma,hr,it,1,0,1.0
2000-2001,Second round,2000-11-09,Slavia Prague,OFI Crete,cz,gr,4,1,1.0
2000-2001,Second round,2000-11-09,Grazer AK,Espanyol,at,es,1,0,1.0
2000-2001,Second round,2000-11-09,Viborg,Rayo Vallecano,dk,es,2,1,1.0
2000-2001,Second round,2000-11-09,St. Gallen,Club Brugge,ch,be,1,1,0.5
2000-2001,Second round,2000-11-09,Kaiserslautern,Iraklis,de,gr,2,3,0.0
2000-2001,Second round,2000-11-09,Slovan Liberec,Liverpool,cz,eng,2,3,0.0
2000-2001,Second round,2000-11-09,Stuttgart,Tirol Innsbruck,de,at,3,1,1.0
2000-2001,Second round,2000-11-09,Feyenoord,Basel,nl,ch,1,0,1.0
2000-2001,Second round,2000-11-09,Genk,Werder Bremen,be,de,2,5,0.0
2000-2001,Second round,2000-11-09,Vitesse,Inter,nl,it,1,1,0.5
2000-2001,Third round,2000-11-21,Hertha BSC,Inter,de,it,0,0,0.5
2000-2001,Third round,2000-11-23,Bordeaux,Werder Bremen,fr,de,4,1,1.0
2000-2001,Third round,2000-11-23,Roma,Hamburger SV,it,de,1,0,1.0
2000-2001,Third round,2000-11-23,Lokomotiv Moscow,Rayo Vallecano,ru,es,0,0,0.5
2000-2001,Third round,2000-11-23,Osijek,Slavia Prague,hr,cz,2,0,1.0
2000-2001,Third round,2000-11-23,Shakhtar Donetsk,Celta Vigo,ua,es,0,0,0.5
2000-2001,Third round,2000-11-23,Leverkusen,AEK Athens,de,gr,4,4,0.5
2000-2001,Third round,2000-11-23,PSV Eindhoven,PAOK,nl,gr,3,0,1.0
2000-2001,Third round,2000-11-23,Alavés,Rosenborg,es,no,1,1,0.5
2000-2001,Third round,2000-11-23,Club Brugge,Barcelona,be,es,0,2,0.0
2000-2001,Third round,2000-11-23,Feyenoord,Stuttgart,nl,de,2,2,0.5
2000-2001,Third round,2000-11-23,Nantes,Lausanne-Sport,fr,ch,4,3,1.0
2000-2001,Third round,2000-11-23,Parma,1860 Munich,it,de,2,2,0.5
2000-2001,Third round,2000-11-23,Espanyol,Porto,es,pt,0,2,0.0
2000-2001,Third round,2000-11-23,Olympiacos,Liverpool,gr,eng,2,2,0.5
2000-2001,Third round,2000-11-30,Rangers,Kaiserslautern,sct,de,1,0,1.0
2000-2001,Third round,2000-12-05,Stuttgart,Feyenoord,de,nl,2,1,1.0
2000-2001,Third round,2000-12-05,1860 Munich,Parma,de,it,0,2,0.0
2000-2001,Third round,2000-12-07,Kaiserslautern,Rangers,de,sct,3,0,1.0
2000-2001,Third round,2000-12-07,Lausanne-Sport,Nantes,ch,fr,1,3,0.0
2000-2001,Third round,2000-12-07,Liverpool,Olympiacos,eng,gr,2,0,1.0
2000-2001,Third round,2000-12-07,Rosenborg,Alavés,no,es,1,3,0.0
2000-2001,Third round,2000-12-07,Slavia Prague,Osijek,cz,hr,5,1,1.0
2000-2001,Third round,2000-12-07,Werder Bremen,Bordeaux,de,fr,0,0,0.5
2000-2001,Third round,2000-12-07,Barcelona,Club Brugge,es,be,1,1,0.5
2000-2001,Third round,2000-12-07,Rayo Vallecano,Lokomotiv Moscow,es,ru,2,0,1.0
2000-2001,Third round,2000-12-07,AEK Athens,Leverkusen,gr,de,2,0,1.0
2000-2001,Third round,2000-12-07,Inter,Hertha BSC,it,de,2,1,1.0
2000-2001,Third round,2000-12-07,Porto,Espanyol,pt,es,0,0,0.5
2000-2001,Third round,2000-12-07,PAOK,PSV Eindhoven,gr,nl,0,1,0.0
2000-2001,Third round,2000-12-07,Hamburger SV,Roma,de,it,0,3,0.0
2000-2001,Third round,2000-12-07,Celta Vigo,Shakhtar Donetsk,es,ua,1,0,1.0
2000-2001,Fourth round,2001-02-15,Stuttgart,Celta Vigo,de,es,0,0,0.5
2000-2001,Fourth round,2001-02-15,Roma,Liverpool,it,eng,0,2,0.0
2000-2001,Fourth round,2001-02-15,Porto,Nantes,pt,fr,3,1,1.0
2000-2001,Fourth round,2001-02-15,AEK Athens,Barcelona,gr,es,0,1,0.0
2000-2001,Fourth round,2001-02-15,Alavés,Inter,es,it,3,3,0.5
2000-2001,Fourth round,2001-02-15,Rayo Vallecano,Bordeaux,es,fr,4,1,1.0
2000-2001,Fourth round,2001-02-15,PSV Eindhoven,Parma,nl,it,2,1,1.0
2000-2001,Fourth round,2001-02-15,Slavia Prague,Kaiserslautern,cz,de,0,0,0.5
2000-2001,Fourth round,2001-02-22,Celta Vigo,Stuttgart,es,de,2,1,1.0
2000-2001,Fourth round,2001-02-22,Bordeaux,Rayo Vallecano,fr,es,1,2,0.0
2000-2001,Fourth round,2001-02-22,Nantes,Porto,fr,pt,2,1,1.0
2000-2001,Fourth round,2001-02-22,Parma,PSV Eindhoven,it,nl,3,2,1.0
2000-2001,Fourth round,2001-02-22,Liverpool,Roma,eng,it,0,1,0.0
2000-2001,Fourth round,2001-02-22,Inter,Alavés,it,es,0,2,0.0
2000-2001,Fourth round,2001-02-22,Kaiserslautern,Slavia Prague,de,cz,1,0,1.0
2000-2001,Fourth round,2001-02-22,Barcelona,AEK Athens,es,gr,5,0,1.0
2000-2001,Quarter-finals,2001-03-08,Barcelona,Celta Vigo,es,es,2,1,1.0
2000-2001,Quarter-finals,2001-03-08,Porto,Liverpool,pt,eng,0,0,0.5
2000-2001,Quarter-finals,2001-03-08,Kaiserslautern,PSV Eindhoven,de,nl,1,0,1.0
2000-2001,Quarter-finals,2001-03-08,Alavés,Rayo Vallecano,es,es,3,0,1.0
2000-2001,Quarter-finals,2001-03-15,Liverpool,Porto,eng,pt,2,0,1.0
2000-2001,Quarter-finals,2001-03-15,PSV Eindhoven,Kaiserslautern,nl,de,0,1,0.0
2000-2001,Quarter-finals,2001-03-15,Celta Vigo,Barcelona,es,es,3,2,1.0
2000-2001,Quarter-finals,2001-03-15,Rayo Vallecano,Alavés,es,es,2,1,1.0
2000-2001,Semi-finals,2001-04-05,Barcelona,Liverpool,es,eng,0,0,0.5
2000-2001,Semi-finals,2001-04-05,Alavés,Kaiserslautern,es,de,5,1,1.0
2000-2001,Semi-finals,2001-04-19,Liverpool,Barcelona,eng,es,1,0,1.0
2000-2001,Semi-finals,2001-04-19,Kaiserslautern,Alavés,de,es,1,4,0.0
2000-2001,Final,2001-05-16,Liverpool,Alavés,eng,es,5,4,1.0
