Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1991-1992,Third round,1991-12-11,Torino,AEK Athens,it,gr,1,0,1.0
1991-1992,Third round,1991-12-11,Liverpool,FC Tirol Innsbruck,eng,at,4,0,1.0
1991-1992,Third round,1991-12-11,Trabzonspor,FC Copenhagen,tr,dk,1,1,0.5
1991-1992,Third round,1991-12-11,Genoa,Steaua,it,ro,1,0,1.0
1991-1992,Third round,1991-12-11,Ajax,Osasuna,nl,es,1,0,1.0
1991-1992,Third round,1991-12-12,Real Madrid,Xamax,es,ch,4,0,1.0
1991-1992,Quarter-finals,1992-03-04,FC Copenhagen,Torino,dk,it,0,2,0.0
1991-1992,Quarter-finals,1992-03-04,Sigma Olomouc,Real Madrid,cz,es,1,1,0.5
1991-1992,Quarter-finals,1992-03-04,Gent,Ajax,be,nl,0,0,0.5
1991-1992,Quarter-finals,1992-03-04,Genoa,Liverpool,it,eng,2,0,1.0
1991-1992,Quarter-finals,1992-03-18,Ajax,Gent,nl,be,3,0,1.0
1991-1992,Quarter-finals,1992-03-18,Liverpool,Genoa,eng,it,1,2,0.0
1991-1992,Quarter-finals,1992-03-18,Real Madrid,Sigma Olomouc,es,cz,1,0,1.0
1991-1992,Quarter-finals,1992-03-19,Torino,FC Copenhagen,it,dk,1,0,1.0
1991-1992,Semi-finals,1992-04-01,Real Madrid,Torino,es,it,2,1,1.0
1991-1992,Semi-finals,1992-04-01,Genoa,Ajax,it,nl,2,3,0.0
1991-1992,Semi-finals,1992-04-15,Torino,Real Madrid,it,es,2,0,1.0
1991-1992,Semi-finals,1992-04-15,Ajax,Genoa,nl,it,1,1,0.5
1991-1992,Final,1992-04-29,Torino,Ajax,it,nl,2,2,0.5
1991-1992,Final,1992-05-13,Ajax,Torino,nl,it,0,0,0.5
