Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1996-1997,Second round,1996-10-15,Karlsruher,Roma,de,it,3,0,1.0
1996-1997,Second round,1996-10-15,Inter,Grazer AK,it,at,1,0,1.0
1996-1997,Second round,1996-10-15,Lazio,Tenerife,it,es,1,0,1.0
1996-1997,Second round,1996-10-15,FC Dinamo Tbilisi,Boavista,ge,pt,1,0,1.0
1996-1997,Second round,1996-10-15,Espanyol,Feyenoord,es,nl,0,3,0.0
1996-1997,Second round,1996-10-15,Club Brugge,Progresul București,be,ro,2,0,1.0
1996-1997,Second round,1996-10-15,Ferencváros,Newcastle Utd,hu,eng,3,2,1.0
1996-1997,Second round,1996-10-15,Slavia Prague,Valencia,cz,es,0,1,0.0
1996-1997,Second round,1996-10-15,Vitória Guimarães,Anderlecht,pt,be,1,1,0.5
1996-1997,Second round,1996-10-15,Helsingborg,Xamax,se,ch,2,0,1.0
1996-1997,Second round,1996-10-15,Legia Warsaw,Beşiktaş,pl,tr,1,1,0.5
1996-1997,Second round,1996-10-15,Schalke 04,Trabzonspor,de,tr,1,0,1.0
1996-1997,Second round,1996-10-16,Hamburger SV,Spartak Moscow,de,ru,3,0,1.0
1996-1997,Second round,1996-10-29,Beşiktaş,Legia Warsaw,tr,pl,2,1,1.0
1996-1997,Second round,1996-10-29,Valencia,Slavia Prague,es,cz,0,0,0.5
1996-1997,Second round,1996-10-29,Feyenoord,Espanyol,nl,es,0,1,0.0
1996-1997,Second round,1996-10-29,Monaco,Gladbach,fr,de,0,1,0.0
1996-1997,Second round,1996-10-29,Tenerife,Lazio,es,it,5,3,1.0
1996-1997,Second round,1996-10-29,Roma,Karlsruher,it,de,2,1,1.0
1996-1997,Second round,1996-10-29,Newcastle Utd,Ferencváros,eng,hu,4,0,1.0
1996-1997,Second round,1996-10-29,Anderlecht,Vitória Guimarães,be,pt,0,0,0.5
1996-1997,Second round,1996-10-29,Trabzonspor,Schalke 04,tr,de,3,3,0.5
1996-1997,Second round,1996-10-29,Sporting CP,Metz,pt,fr,2,1,1.0
1996-1997,Second round,1996-10-29,Progresul București,Club Brugge,ro,be,1,1,0.5
1996-1997,Second round,1996-10-29,Boavista,FC Dinamo Tbilisi,pt,ge,5,0,1.0
1996-1997,Second round,1996-10-29,Xamax,Helsingborg,ch,se,1,1,0.5
1996-1997,Second round,1996-10-29,Spartak Moscow,Hamburger SV,ru,de,2,2,0.5
1996-1997,Second round,1996-10-29,Brøndby,Aberdeen,dk,sct,0,0,0.5
1996-1997,Second round,1996-10-29,Grazer AK,Inter,at,it,1,0,1.0
1996-1997,Third round,1996-11-19,Tenerife,Feyenoord,es,nl,0,0,0.5
1996-1997,Third round,1996-11-19,Helsingborg,Anderlecht,se,be,0,0,0.5
1996-1997,Third round,1996-11-19,Inter,Boavista,it,pt,5,1,1.0
1996-1997,Third round,1996-11-19,Club Brugge,Schalke 04,be,de,2,1,1.0
1996-1997,Third round,1996-11-19,Valencia,Beşiktaş,es,tr,3,1,1.0
1996-1997,Third round,1996-11-19,Monaco,Hamburger SV,fr,de,3,0,1.0
1996-1997,Third round,1996-11-19,Brøndby,Karlsruher,dk,de,1,3,0.0
1996-1997,Third round,1996-11-19,Metz,Newcastle Utd,fr,eng,1,1,0.5
1996-1997,Third round,1996-12-03,Schalke 04,Club Brugge,de,be,2,0,1.0
1996-1997,Third round,1996-12-03,Karlsruher,Brøndby,de,dk,0,5,0.0
1996-1997,Third round,1996-12-03,Hamburger SV,Monaco,de,fr,0,2,0.0
1996-1997,Third round,1996-12-03,Anderlecht,Helsingborg,be,se,1,0,1.0
1996-1997,Third round,1996-12-03,Newcastle Utd,Metz,eng,fr,2,0,1.0
1996-1997,Third round,1996-12-03,Boavista,Inter,pt,it,0,2,0.0
1996-1997,Third round,1996-12-03,Beşiktaş,Valencia,tr,es,2,2,0.5
1996-1997,Third round,1996-12-03,Feyenoord,Tenerife,nl,es,2,4,0.0
1996-1997,Quarter-finals,1997-03-04,Schalke 04,Valencia,de,es,2,0,1.0
1996-1997,Quarter-finals,1997-03-04,Tenerife,Brøndby,es,dk,0,1,0.0
1996-1997,Quarter-finals,1997-03-04,Anderlecht,Inter,be,it,1,1,0.5
1996-1997,Quarter-finals,1997-03-04,Newcastle Utd,Monaco,eng,fr,0,1,0.0
1996-1997,Quarter-finals,1997-03-18,Valencia,Schalke 04,es,de,1,1,0.5
1996-1997,Quarter-finals,1997-03-18,Brøndby,Tenerife,dk,es,0,2,0.0
1996-1997,Quarter-finals,1997-03-18,Inter,Anderlecht,it,be,2,1,1.0
1996-1997,Quarter-finals,1997-03-18,Monaco,Newcastle Utd,fr,eng,3,0,1.0
1996-1997,Semi-finals,1997-04-08,Inter,Monaco,it,fr,3,1,1.0
1996-1997,Semi-finals,1997-04-08,Tenerife,Schalke 04,es,de,1,0,1.0
1996-1997,Semi-finals,1997-04-22,Monaco,Inter,fr,it,1,0,1.0
1996-1997,Semi-finals,1997-04-22,Schalke 04,Tenerife,de,es,2,0,1.0
1996-1997,Final,1997-05-07,Schalke 04,Inter,de,it,1,0,1.0
1996-1997,Final,1997-05-21,Inter,Schalke 04,it,de,1,0,1.0
