Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1994-1995,First round,1994-09-27,Odense,Linfield FC,dk,nir,5,0,1.0
1994-1995,First round,1994-09-27,Charleroi,Rapid București,be,ro,2,1,1.0
1994-1995,First round,1994-09-27,Górnik Zabrze,Admira Wacker Mödling,pl,at,1,1,0.5
1994-1995,First round,1994-09-27,PSV,Leverkusen,nl,de,0,0,0.5
1994-1995,First round,1994-09-27,MYPA,Boavista,fi,pt,1,1,0.5
1994-1995,First round,1994-09-27,FC Copenhagen,ŠK Slovan Bratislava,dk,sk,1,1,0.5
1994-1995,First round,1994-09-27,FC Tirol Innsbruck,FC Dinamo Tbilisi,at,ge,5,1,1.0
1994-1995,First round,1994-09-27,Slavia Prague,AIK Stockholm,cz,se,2,2,0.5
1994-1995,First round,1994-09-27,Eint Frankfurt,NK Olimpija Ljubljana,de,si,2,0,1.0
1994-1995,First round,1994-09-27,Juventus,CSKA Sofia,it,bg,5,1,1.0
1994-1995,First round,1994-09-27,Fenerbahçe,Cannes,tr,fr,1,5,0.0
1994-1995,First round,1994-09-27,Aris,Katowice,gr,pl,1,0,1.0
1994-1995,First round,1994-09-27,Dinamo București,Trabzonspor,ro,tr,3,3,0.5
1994-1995,First round,1994-09-27,Marítimo,Aarau,pt,ch,1,0,1.0
1994-1995,First round,1994-09-27,Marseille,Olympiacos,fr,gr,3,0,1.0
1994-1995,First round,1994-09-27,Sporting CP,Real Madrid,pt,es,2,1,1.0
1994-1995,First round,1994-09-27,Sion,Apollon Limassol,ch,cy,2,3,0.0
1994-1995,First round,1994-09-27,Athletic Club,Anorthosis,es,cy,3,0,1.0
1994-1995,First round,1994-09-27,Békéscsaba,FC Tekstilshchik Kamyshin,hu,ru,1,0,1.0
1994-1995,First round,1994-09-27,Kaiserslautern,Íþróttabandalag Akraness,de,is,4,1,1.0
1994-1995,First round,1994-09-27,Skonto FC,Napoli,lv,it,0,1,0.0
1994-1995,First round,1994-09-27,Lazio,Dinamo Minsk,it,by,4,1,1.0
1994-1995,First round,1994-09-27,Honvéd,Twente,hu,nl,1,3,0.0
1994-1995,First round,1994-09-27,Nantes,Rotor Volgograd,fr,ru,3,0,1.0
1994-1995,First round,1994-09-28,Motherwell,Dortmund,sct,de,0,2,0.0
1994-1995,First round,1994-09-29,Aston Villa,Inter,eng,it,1,0,1.0
1994-1995,Second round,1994-10-18,Admira Wacker Mödling,Cannes,at,fr,1,1,0.5
1994-1995,Second round,1994-10-18,Trabzonspor,Aston Villa,tr,eng,1,0,1.0
1994-1995,Second round,1994-10-18,Boavista,Napoli,pt,it,1,1,0.5
1994-1995,Second round,1994-10-18,Newcastle Utd,Athletic Club,eng,es,3,2,1.0
1994-1995,Second round,1994-10-18,Marítimo,Juventus,pt,it,0,1,0.0
1994-1995,Second round,1994-10-18,Honvéd,Leverkusen,hu,de,0,2,0.0
1994-1995,Second round,1994-10-18,Sion,Marseille,ch,fr,2,0,1.0
1994-1995,Second round,1994-10-18,Dynamo Moscow,Real Madrid,ru,es,2,2,0.5
1994-1995,Second round,1994-10-18,Kaiserslautern,Odense,de,dk,1,1,0.5
1994-1995,Second round,1994-10-18,Trelleborg,Lazio,se,it,0,0,0.5
1994-1995,Second round,1994-10-18,ŠK Slovan Bratislava,Dortmund,sk,de,2,1,1.0
1994-1995,Second round,1994-10-18,FC Tirol Innsbruck,Dep La Coruña,at,es,2,0,1.0
1994-1995,Second round,1994-10-18,Nantes,FC Tekstilshchik Kamyshin,fr,ru,2,0,1.0
1994-1995,Second round,1994-10-18,Katowice,Bordeaux,pl,fr,1,0,1.0
1994-1995,Second round,1994-10-19,Rapid București,Eint Frankfurt,ro,de,2,1,1.0
1994-1995,Second round,1994-10-20,AIK Stockholm,Parma,se,it,0,1,0.0
1994-1995,Second round,1994-11-01,Aston Villa,Trabzonspor,eng,tr,2,1,1.0
1994-1995,Second round,1994-11-01,Lazio,Trelleborg,it,se,1,0,1.0
1994-1995,Second round,1994-11-01,Marseille,Sion,fr,ch,3,1,1.0
1994-1995,Second round,1994-11-01,Bordeaux,Katowice,fr,pl,1,1,0.5
1994-1995,Second round,1994-11-01,Real Madrid,Dynamo Moscow,es,ru,4,0,1.0
1994-1995,Second round,1994-11-01,Eint Frankfurt,Rapid București,de,ro,5,0,1.0
1994-1995,Second round,1994-11-01,Leverkusen,Honvéd,de,hu,5,0,1.0
1994-1995,Second round,1994-11-01,Napoli,Boavista,it,pt,2,1,1.0
1994-1995,Second round,1994-11-01,Dep La Coruña,FC Tirol Innsbruck,es,at,4,0,1.0
1994-1995,Second round,1994-11-01,Athletic Club,Newcastle Utd,es,eng,1,0,1.0
1994-1995,Second round,1994-11-01,Cannes,Admira Wacker Mödling,fr,at,2,4,0.0
1994-1995,Second round,1994-11-01,FC Tekstilshchik Kamyshin,Nantes,ru,fr,1,2,0.0
1994-1995,Second round,1994-11-02,Odense,Kaiserslautern,dk,de,0,0,0.5
1994-1995,Second round,1994-11-02,Juventus,Marítimo,it,pt,2,1,1.0
1994-1995,Second round,1994-11-02,Parma,AIK Stockholm,it,se,2,0,1.0
1994-1995,Second round,1994-11-03,Dortmund,ŠK Slovan Bratislava,de,sk,3,0,1.0
1994-1995,Third round,1994-11-22,Athletic Club,Parma,es,it,1,0,1.0
1994-1995,Third round,1994-11-22,Katowice,Leverkusen,pl,de,1,4,0.0
1994-1995,Third round,1994-11-22,Odense,Real Madrid,dk,es,2,3,0.0
1994-1995,Third round,1994-11-22,Trabzonspor,Lazio,tr,it,1,2,0.0
1994-1995,Third round,1994-11-22,Dep La Coruña,Dortmund,es,de,1,0,1.0
1994-1995,Third round,1994-11-24,Eint Frankfurt,Napoli,de,it,1,0,1.0
1994-1995,Third round,1994-11-24,Nantes,Sion,fr,ch,4,0,1.0
1994-1995,Third round,1994-11-24,Admira Wacker Mödling,Juventus,at,it,1,3,0.0
1994-1995,Third round,1994-12-06,Parma,Athletic Club,it,es,4,2,1.0
1994-1995,Third round,1994-12-06,Lazio,Trabzonspor,it,tr,2,1,1.0
1994-1995,Third round,1994-12-06,Juventus,Admira Wacker Mödling,it,at,2,1,1.0
1994-1995,Third round,1994-12-06,Leverkusen,Katowice,de,pl,4,0,1.0
1994-1995,Third round,1994-12-06,Dortmund,Dep La Coruña,de,es,3,1,1.0
1994-1995,Third round,1994-12-06,Real Madrid,Odense,es,dk,0,2,0.0
1994-1995,Third round,1994-12-07,Napoli,Eint Frankfurt,it,de,0,1,0.0
1994-1995,Third round,1994-12-08,Sion,Nantes,ch,fr,2,2,0.5
1994-1995,Quarter-finals,1995-02-28,Leverkusen,Nantes,de,fr,5,1,1.0
1994-1995,Quarter-finals,1995-02-28,Lazio,Dortmund,it,de,1,0,1.0
1994-1995,Quarter-finals,1995-02-28,Eint Frankfurt,Juventus,de,it,1,1,0.5
1994-1995,Quarter-finals,1995-03-02,Parma,Odense,it,dk,1,0,1.0
1994-1995,Quarter-finals,1995-03-14,Nantes,Leverkusen,fr,de,0,0,0.5
1994-1995,Quarter-finals,1995-03-14,Juventus,Eint Frankfurt,it,de,3,0,1.0
1994-1995,Quarter-finals,1995-03-14,Dortmund,Lazio,de,it,2,0,1.0
1994-1995,Quarter-finals,1995-03-14,Odense,Parma,dk,it,0,0,0.5
1994-1995,Semi-finals,1995-04-04,Juventus,Dortmund,it,de,2,2,0.5
1994-1995,Semi-finals,1995-04-04,Leverkusen,Parma,de,it,1,2,0.0
1994-1995,Semi-finals,1995-04-18,Parma,Leverkusen,it,de,3,0,1.0
1994-1995,Semi-finals,1995-04-18,Dortmund,Juventus,de,it,1,2,0.0
1994-1995,Final,1995-05-03,Parma,Juventus,it,it,1,0,1.0
1994-1995,Final,1995-05-17,Juventus,Parma,it,it,1,1,0.5
