Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1993-1994,First round,1993-09-29,MTK Budapest,KR,hu,is,0,0,0.5
1993-1994,First round,1993-09-29,Sporting CP,Kocaelispor,pt,tr,2,0,1.0
1993-1994,First round,1993-09-29,Lokomotiv Plovdiv,Lazio,bg,it,0,2,0.0
1993-1994,First round,1993-09-29,OFI Crete,Slavia Prague,gr,cz,1,0,1.0
1993-1994,First round,1993-09-29,Vitesse,Norwich City,nl,eng,0,0,0.5
1993-1994,First round,1993-09-29,Kongsvinger,Öster,no,se,4,1,1.0
1993-1994,First round,1993-09-30,Valencia,Nantes,es,fr,3,1,1.0
1993-1994,Second round,1993-10-19,Bordeaux,Servette,fr,ch,2,1,1.0
1993-1994,Second round,1993-10-19,Tenerife,Olympiacos,es,gr,2,1,1.0
1993-1994,Second round,1993-10-19,Atlético Madrid,OFI Crete,es,gr,1,0,1.0
1993-1994,Second round,1993-10-19,Bayern Munich,Norwich City,de,eng,1,2,0.0
1993-1994,Second round,1993-10-19,Eint Frankfurt,FC Dnipro,de,ua,2,0,1.0
1993-1994,Second round,1993-10-19,Lahti,Brøndby,fi,dk,1,4,0.0
1993-1994,Second round,1993-10-19,Dep La Coruña,Aston Villa,es,eng,1,1,0.5
1993-1994,Second round,1993-10-19,Austria Salzburg,Antwerp,at,be,1,0,1.0
1993-1994,Second round,1993-10-20,Inter,Apollon Limassol,it,cy,1,0,1.0
1993-1994,Second round,1993-10-20,NK Maribor,Dortmund,si,de,0,0,0.5
1993-1994,Second round,1993-10-20,Valencia,Karlsruher,es,de,3,1,1.0
1993-1994,Second round,1993-10-20,Mechelen,MTK Budapest,be,hu,5,0,1.0
1993-1994,Second round,1993-10-20,Celtic,Sporting CP,sct,pt,1,0,1.0
1993-1994,Second round,1993-10-20,Lazio,Boavista,it,pt,1,0,1.0
1993-1994,Second round,1993-10-20,Trabzonspor,Cagliari,tr,it,1,1,0.5
1993-1994,Second round,1993-10-20,Kongsvinger,Juventus,no,it,1,1,0.5
1993-1994,Second round,1993-11-02,Dortmund,NK Maribor,de,si,2,1,1.0
1993-1994,Second round,1993-11-02,Juventus,Kongsvinger,it,no,2,0,1.0
1993-1994,Second round,1993-11-02,Karlsruher,Valencia,de,es,7,0,1.0
1993-1994,Second round,1993-11-02,OFI Crete,Atlético Madrid,gr,es,2,0,1.0
1993-1994,Second round,1993-11-02,MTK Budapest,Mechelen,hu,be,1,1,0.5
1993-1994,Second round,1993-11-02,Antwerp,Austria Salzburg,be,at,0,1,0.0
1993-1994,Second round,1993-11-03,Aston Villa,Dep La Coruña,eng,es,0,1,0.0
1993-1994,Second round,1993-11-03,Brøndby,Lahti,dk,fi,3,1,1.0
1993-1994,Second round,1993-11-03,Cagliari,Trabzonspor,it,tr,0,0,0.5
1993-1994,Second round,1993-11-03,Servette,Bordeaux,ch,fr,0,1,0.0
1993-1994,Second round,1993-11-03,Sporting CP,Celtic,pt,sct,2,0,1.0
1993-1994,Second round,1993-11-03,FC Dnipro,Eint Frankfurt,ua,de,1,0,1.0
1993-1994,Second round,1993-11-03,Norwich City,Bayern Munich,eng,de,1,1,0.5
1993-1994,Second round,1993-11-03,Apollon Limassol,Inter,cy,it,3,3,0.5
1993-1994,Second round,1993-11-04,Olympiacos,Tenerife,gr,es,4,3,1.0
1993-1994,Second round,1993-11-04,Boavista,Lazio,pt,it,2,0,1.0
1993-1994,Third round,1993-11-23,Eint Frankfurt,Dep La Coruña,de,es,1,0,1.0
1993-1994,Third round,1993-11-23,Bordeaux,Karlsruher,fr,de,1,0,1.0
1993-1994,Third round,1993-11-23,OFI Crete,Boavista,gr,pt,1,4,0.0
1993-1994,Third round,1993-11-24,Norwich City,Inter,eng,it,0,1,0.0
1993-1994,Third round,1993-11-24,Juventus,Tenerife,it,es,3,0,1.0
1993-1994,Third round,1993-11-24,Sporting CP,Austria Salzburg,pt,at,2,0,1.0
1993-1994,Third round,1993-11-24,Brøndby,Dortmund,dk,de,1,1,0.5
1993-1994,Third round,1993-11-25,Mechelen,Cagliari,be,it,1,3,0.0
1993-1994,Third round,1993-12-07,Dep La Coruña,Eint Frankfurt,es,de,0,1,0.0
1993-1994,Third round,1993-12-07,Boavista,OFI Crete,pt,gr,2,0,1.0
1993-1994,Third round,1993-12-07,Austria Salzburg,Sporting CP,at,pt,3,0,1.0
1993-1994,Third round,1993-12-07,Karlsruher,Bordeaux,de,fr,3,0,1.0
1993-1994,Third round,1993-12-08,Inter,Norwich City,it,eng,1,0,1.0
1993-1994,Third round,1993-12-08,Tenerife,Juventus,es,it,2,1,1.0
1993-1994,Third round,1993-12-08,Dortmund,Brøndby,de,dk,1,0,1.0
1993-1994,Third round,1993-12-08,Cagliari,Mechelen,it,be,2,0,1.0
1993-1994,Quarter-finals,1994-03-01,Cagliari,Juventus,it,it,1,0,1.0
1993-1994,Quarter-finals,1994-03-01,Dortmund,Inter,de,it,1,3,0.0
1993-1994,Quarter-finals,1994-03-02,Boavista,Karlsruher,pt,de,1,1,0.5
1993-1994,Quarter-finals,1994-03-03,Austria Salzburg,Eint Frankfurt,at,de,1,0,1.0
1993-1994,Quarter-finals,1994-03-15,Juventus,Cagliari,it,it,1,2,0.0
1993-1994,Quarter-finals,1994-03-15,Eint Frankfurt,Austria Salzburg,de,at,1,0,1.0
1993-1994,Quarter-finals,1994-03-16,Karlsruher,Boavista,de,pt,1,0,1.0
1993-1994,Quarter-finals,1994-03-17,Inter,Dortmund,it,de,1,2,0.0
1993-1994,Semi-finals,1994-03-29,Austria Salzburg,Karlsruher,at,de,0,0,0.5
1993-1994,Semi-finals,1994-03-30,Cagliari,Inter,it,it,3,2,1.0
1993-1994,Semi-finals,1994-04-12,Inter,Cagliari,it,it,3,0,1.0
1993-1994,Semi-finals,1994-04-12,Karlsruher,Austria Salzburg,de,at,1,1,0.5
1993-1994,Final,1994-04-26,Austria Salzburg,Inter,at,it,0,1,0.0
1993-1994,Final,1994-05-11,Inter,Austria Salzburg,it,at,1,0,1.0
