Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
1992-1993,Second round,1992-10-21,Hearts,Standard Liège,sct,be,0,1,0.0
1992-1993,Second round,1992-10-21,Napoli,Paris S-G,it,fr,0,2,0.0
1992-1993,Second round,1992-10-21,Anderlecht,Dynamo Kyiv,be,ua,4,2,1.0
1992-1993,Second round,1992-10-21,Eint Frankfurt,Galatasaray,de,tr,0,0,0.5
1992-1993,Second round,1992-10-21,Real Madrid,Torpedo Moscow,es,ru,5,2,1.0
1992-1993,Second round,1992-10-21,Benfica,Vác,pt,hu,5,1,1.0
1992-1993,Second round,1992-10-22,BK Frem,Zaragoza,dk,es,0,1,0.0
1992-1993,Second round,1992-10-22,Torino,Dynamo Moscow,it,ru,1,2,0.0
1992-1993,Second round,1992-11-03,Zaragoza,BK Frem,es,dk,5,1,1.0
1992-1993,Second round,1992-11-03,Celtic,Dortmund,sct,de,1,2,0.0
1992-1993,Second round,1992-11-03,Grasshopper,Roma,ch,it,4,3,1.0
1992-1993,Second round,1992-11-03,Mechelen,Vitesse,be,nl,0,1,0.0
1992-1993,Second round,1992-11-04,Galatasaray,Eint Frankfurt,tr,de,1,0,1.0
1992-1993,Second round,1992-11-04,Vác,Benfica,hu,pt,0,1,0.0
1992-1993,Second round,1992-11-04,Ajax,Vitória Guimarães,nl,pt,2,1,1.0
1992-1993,Second round,1992-11-04,Sigma Olomouc,Fenerbahçe,cz,tr,7,1,1.0
1992-1993,Second round,1992-11-04,Torpedo Moscow,Real Madrid,ru,es,3,2,1.0
1992-1993,Second round,1992-11-04,FC Copenhagen,Auxerre,dk,fr,0,2,0.0
1992-1993,Second round,1992-11-04,Standard Liège,Hearts,be,sct,1,0,1.0
1992-1993,Second round,1992-11-04,Dynamo Kyiv,Anderlecht,ua,be,0,3,0.0
1992-1993,Second round,1992-11-04,Paris S-G,Napoli,fr,it,0,0,0.5
1992-1993,Second round,1992-11-04,Sheffield Weds,Kaiserslautern,eng,de,2,2,0.5
1992-1993,Second round,1992-11-04,Juventus,Panathinaikos,it,gr,0,0,0.5
1992-1993,Second round,1992-11-05,Dynamo Moscow,Torino,ru,it,0,0,0.5
1992-1993,Third round,1992-11-24,Standard Liège,Auxerre,be,fr,2,2,0.5
1992-1993,Third round,1992-11-24,Ajax,Kaiserslautern,nl,de,2,0,1.0
1992-1993,Third round,1992-11-24,Paris S-G,Anderlecht,fr,be,0,0,0.5
1992-1993,Third round,1992-11-24,Dortmund,Zaragoza,de,es,3,1,1.0
1992-1993,Third round,1992-11-25,Roma,Galatasaray,it,tr,3,1,1.0
1992-1993,Third round,1992-11-25,Sigma Olomouc,Juventus,cz,it,1,2,0.0
1992-1993,Third round,1992-11-25,Dynamo Moscow,Benfica,ru,pt,2,2,0.5
1992-1993,Third round,1992-11-26,Vitesse,Real Madrid,nl,es,0,1,0.0
1992-1993,Third round,1992-12-08,Anderlecht,Paris S-G,be,fr,1,1,0.5
1992-1993,Third round,1992-12-08,Kaiserslautern,Ajax,de,nl,0,1,0.0
1992-1993,Third round,1992-12-08,Zaragoza,Dortmund,es,de,2,1,1.0
1992-1993,Third round,1992-12-08,Auxerre,Standard Liège,fr,be,2,1,1.0
1992-1993,Third round,1992-12-08,Benfica,Dynamo Moscow,pt,ru,2,0,1.0
1992-1993,Third round,1992-12-09,Galatasaray,Roma,tr,it,3,2,1.0
1992-1993,Third round,1992-12-10,Juventus,Sigma Olomouc,it,cz,5,0,1.0
1992-1993,Third round,1992-12-10,Real Madrid,Vitesse,es,nl,1,0,1.0
1992-1993,Quarter-finals,1993-03-02,Real Madrid,Paris S-G,es,fr,3,1,1.0
1992-1993,Quarter-finals,1993-03-02,Roma,Dortmund,it,de,1,0,1.0
1992-1993,Quarter-finals,1993-03-03,Auxerre,Ajax,fr,nl,4,2,1.0
1992-1993,Quarter-finals,1993-03-04,Benfica,Juventus,pt,it,2,1,1.0
1992-1993,Quarter-finals,1993-03-16,Ajax,Auxerre,nl,fr,1,0,1.0
1992-1993,Quarter-finals,1993-03-17,Juventus,Benfica,it,pt,3,0,1.0
1992-1993,Quarter-finals,1993-03-18,Dortmund,Roma,de,it,2,0,1.0
1992-1993,Quarter-finals,1993-03-18,Paris S-G,Real Madrid,fr,es,4,1,1.0
1992-1993,Semi-finals,1993-04-06,Juventus,Paris S-G,it,fr,2,1,1.0
1992-1993,Semi-finals,1993-04-06,Dortmund,Auxerre,de,fr,2,0,1.0
1992-1993,Semi-finals,1993-04-20,Auxerre,Dortmund,fr,de,2,0,1.0
1992-1993,Semi-finals,1993-04-22,Paris S-G,Juventus,fr,it,0,1,0.0
1992-1993,Final,1993-05-05,Dortmund,Juventus,de,it,1,3,0.0
1992-1993,Final,1993-05-19,Juventus,Dortmund,it,de,3,0,1.0
