Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2018-2019,Regular season,13,2018-10-28,Jablonec,Slovan Liberec,0,0,0.5
2018-2019,Regular season,13,2018-10-29,Slavia Prague,Dukla Prague,4,1,1.0
2018-2019,Regular season,14,2018-11-02,Bohemians 1905,Teplice,2,3,0.0
2018-2019,Regular season,14,2018-11-03,Baník Ostrava,Viktoria Plzeň,0,1,0.0
2018-2019,Regular season,14,2018-11-03,Dukla Prague,Jablonec,2,6,0.0
2018-2019,Regular season,14,2018-11-03,Příbram,Slovácko,0,3,0.0
2018-2019,Regular season,14,2018-11-03,Sigma Olomouc,Opava,2,2,0.5
2018-2019,Regular season,14,2018-11-03,Fastav Zlín,Karviná,2,1,1.0
2018-2019,Regular season,14,2018-11-04,Sparta Prague,Slavia Prague,2,2,0.5
2018-2019,Regular season,14,2018-11-05,Slovan Liberec,Mladá Boleslav,1,0,1.0
2018-2019,Regular season,15,2018-11-09,Mladá Boleslav,Dukla Prague,0,0,0.5
2018-2019,Regular season,15,2018-11-10,Karviná,Sparta Prague,1,3,0.0
2018-2019,Regular season,15,2018-11-10,Slovácko,Slovan Liberec,0,1,0.0
2018-2019,Regular season,15,2018-11-11,Opava,Baník Ostrava,2,1,1.0
2018-2019,Regular season,15,2018-11-11,Teplice,Sigma Olomouc,0,0,0.5
2018-2019,Regular season,15,2018-11-11,Jablonec,Bohemians 1905,3,1,1.0
2018-2019,Regular season,15,2018-11-11,Viktoria Plzeň,Příbram,1,1,0.5
2018-2019,Regular season,15,2018-11-11,Slavia Prague,Fastav Zlín,3,1,1.0
2018-2019,Regular season,16,2018-11-23,Slovan Liberec,Viktoria Plzeň,1,1,0.5
2018-2019,Regular season,16,2018-11-23,Dukla Prague,Teplice,1,0,1.0
2018-2019,Regular season,16,2018-11-24,Karviná,Slavia Prague,1,3,0.0
2018-2019,Regular season,16,2018-11-24,Baník Ostrava,Slovácko,0,3,0.0
2018-2019,Regular season,16,2018-11-24,Fastav Zlín,Opava,2,0,1.0
2018-2019,Regular season,16,2018-11-24,Bohemians 1905,Příbram,2,2,0.5
2018-2019,Regular season,16,2018-11-25,Sigma Olomouc,Mladá Boleslav,0,4,0.0
2018-2019,Regular season,16,2018-11-25,Sparta Prague,Jablonec,0,0,0.5
2018-2019,Regular season,17,2018-11-30,Teplice,Slovan Liberec,1,0,1.0
2018-2019,Regular season,17,2018-12-01,Mladá Boleslav,Karviná,1,1,0.5
2018-2019,Regular season,17,2018-12-01,Slovácko,Sparta Prague,2,1,1.0
2018-2019,Regular season,17,2018-12-02,Příbram,Baník Ostrava,0,2,0.0
2018-2019,Regular season,17,2018-12-02,Bohemians 1905,Dukla Prague,0,0,0.5
2018-2019,Regular season,17,2018-12-02,Viktoria Plzeň,Sigma Olomouc,2,0,1.0
2018-2019,Regular season,17,2018-12-03,Jablonec,Fastav Zlín,4,0,1.0
2018-2019,Regular season,17,2018-12-03,Opava,Slavia Prague,2,3,0.0
2018-2019,Regular season,18,2018-12-07,Fastav Zlín,Viktoria Plzeň,0,2,0.0
2018-2019,Regular season,18,2018-12-07,Dukla Prague,Příbram,1,2,0.0
2018-2019,Regular season,18,2018-12-08,Sigma Olomouc,Slovácko,1,0,1.0
2018-2019,Regular season,18,2018-12-08,Baník Ostrava,Bohemians 1905,2,0,1.0
2018-2019,Regular season,18,2018-12-08,Karviná,Jablonec,2,1,1.0
2018-2019,Regular season,18,2018-12-08,Slavia Prague,Mladá Boleslav,3,2,1.0
2018-2019,Regular season,18,2018-12-09,Sparta Prague,Teplice,0,1,0.0
2018-2019,Regular season,18,2018-12-10,Slovan Liberec,Opava,1,2,0.0
2018-2019,Regular season,19,2018-12-14,Baník Ostrava,Sigma Olomouc,0,0,0.5
2018-2019,Regular season,19,2018-12-15,Bohemians 1905,Slovan Liberec,0,0,0.5
2018-2019,Regular season,19,2018-12-15,Opava,Mladá Boleslav,2,1,1.0
2018-2019,Regular season,19,2018-12-15,Teplice,Fastav Zlín,2,1,1.0
2018-2019,Regular season,19,2018-12-15,Slovácko,Dukla Prague,1,0,1.0
2018-2019,Regular season,19,2018-12-15,Příbram,Sparta Prague,1,1,0.5
2018-2019,Regular season,19,2018-12-16,Viktoria Plzeň,Karviná,2,1,1.0
2018-2019,Regular season,19,2018-12-17,Jablonec,Slavia Prague,0,2,0.0
2018-2019,Regular season,20,2019-02-08,Sigma Olomouc,Jablonec,1,2,0.0
2018-2019,Regular season,20,2019-02-08,Dukla Prague,Baník Ostrava,1,1,0.5
2018-2019,Regular season,20,2019-02-09,Slovan Liberec,Příbram,4,0,1.0
2018-2019,Regular season,20,2019-02-09,Mladá Boleslav,Viktoria Plzeň,1,1,0.5
2018-2019,Regular season,20,2019-02-09,Fastav Zlín,Slovácko,0,1,0.0
2018-2019,Regular season,20,2019-02-09,Karviná,Opava,1,1,0.5
2018-2019,Regular season,20,2019-02-09,Slavia Prague,Teplice,2,0,1.0
2018-2019,Regular season,20,2019-02-10,Sparta Prague,Bohemians 1905,1,0,1.0
2018-2019,Regular season,21,2019-02-15,Teplice,Mladá Boleslav,0,2,0.0
2018-2019,Regular season,21,2019-02-16,Bohemians 1905,Sigma Olomouc,0,1,0.0
2018-2019,Regular season,21,2019-02-16,Příbram,Fastav Zlín,3,2,1.0
2018-2019,Regular season,21,2019-02-16,Slovácko,Karviná,2,0,1.0
2018-2019,Regular season,21,2019-02-16,Baník Ostrava,Slovan Liberec,2,1,1.0
2018-2019,Regular season,21,2019-02-17,Jablonec,Opava,2,2,0.5
2018-2019,Regular season,21,2019-02-17,Viktoria Plzeň,Slavia Prague,2,0,1.0
2018-2019,Regular season,21,2019-02-18,Dukla Prague,Sparta Prague,2,3,0.0
2018-2019,Regular season,22,2019-02-22,Slovan Liberec,Dukla Prague,2,0,1.0
2018-2019,Regular season,22,2019-02-23,Sigma Olomouc,Příbram,2,0,1.0
2018-2019,Regular season,22,2019-02-23,Karviná,Teplice,1,1,0.5
2018-2019,Regular season,22,2019-02-23,Fastav Zlín,Bohemians 1905,0,2,0.0
2018-2019,Regular season,22,2019-02-23,Mladá Boleslav,Jablonec,1,0,1.0
2018-2019,Regular season,22,2019-02-24,Sparta Prague,Baník Ostrava,3,2,1.0
2018-2019,Regular season,22,2019-02-25,Slavia Prague,Slovácko,4,0,1.0
2018-2019,Regular season,22,2019-02-25,Opava,Viktoria Plzeň,1,2,0.0
2018-2019,Regular season,23,2019-03-01,Baník Ostrava,Fastav Zlín,1,2,0.0
2018-2019,Regular season,23,2019-03-02,Viktoria Plzeň,Jablonec,1,0,1.0
2018-2019,Regular season,23,2019-03-02,Příbram,Karviná,2,1,1.0
2018-2019,Regular season,23,2019-03-02,Slovácko,Mladá Boleslav,1,1,0.5
2018-2019,Regular season,23,2019-03-02,Dukla Prague,Sigma Olomouc,0,4,0.0
2018-2019,Regular season,23,2019-03-02,Slovan Liberec,Sparta Prague,0,1,0.0
2018-2019,Regular season,23,2019-03-03,Teplice,Opava,3,2,1.0
2018-2019,Regular season,23,2019-03-03,Bohemians 1905,Slavia Prague,0,3,0.0
2018-2019,Regular season,24,2019-03-08,Jablonec,Teplice,2,1,1.0
2018-2019,Regular season,24,2019-03-09,Opava,Slovácko,2,2,0.5
2018-2019,Regular season,24,2019-03-09,Karviná,Bohemians 1905,0,3,0.0
2018-2019,Regular season,24,2019-03-09,Fastav Zlín,Dukla Prague,2,1,1.0
2018-2019,Regular season,24,2019-03-09,Mladá Boleslav,Příbram,2,0,1.0
2018-2019,Regular season,24,2019-03-09,Sparta Prague,Viktoria Plzeň,4,0,1.0
2018-2019,Regular season,24,2019-03-10,Slavia Prague,Baník Ostrava,4,0,1.0
2018-2019,Regular season,24,2019-03-11,Sigma Olomouc,Slovan Liberec,2,1,1.0
2018-2019,Regular season,25,2019-03-15,Teplice,Viktoria Plzeň,2,1,1.0
2018-2019,Regular season,25,2019-03-15,Dukla Prague,Karviná,2,1,1.0
2018-2019,Regular season,25,2019-03-16,Baník Ostrava,Mladá Boleslav,1,1,0.5
2018-2019,Regular season,25,2019-03-16,Slovácko,Jablonec,0,0,0.5
2018-2019,Regular season,25,2019-03-16,Slovan Liberec,Fastav Zlín,1,0,1.0
2018-2019,Regular season,25,2019-03-16,Sparta Prague,Sigma Olomouc,2,1,1.0
2018-2019,Regular season,25,2019-03-17,Bohemians 1905,Opava,0,0,0.5
2018-2019,Regular season,25,2019-03-17,Příbram,Slavia Prague,0,2,0.0
2018-2019,Regular season,26,2019-03-29,Karviná,Baník Ostrava,2,0,1.0
2018-2019,Regular season,26,2019-03-30,Teplice,Slovácko,2,0,1.0
2018-2019,Regular season,26,2019-03-30,Mladá Boleslav,Sparta Prague,2,1,1.0
2018-2019,Regular season,26,2019-03-30,Fastav Zlín,Sigma Olomouc,0,2,0.0
2018-2019,Regular season,26,2019-03-30,Opava,Dukla Prague,2,0,1.0
2018-2019,Regular season,26,2019-03-30,Slavia Prague,Slovan Liberec,1,1,0.5
2018-2019,Regular season,26,2019-03-31,Jablonec,Příbram,3,0,1.0
2018-2019,Regular season,26,2019-03-31,Viktoria Plzeň,Bohemians 1905,3,2,1.0
2018-2019,Regular season,27,2019-04-05,Příbram,Opava,3,1,1.0
2018-2019,Regular season,27,2019-04-06,Dukla Prague,Slavia Prague,1,5,0.0
2018-2019,Regular season,27,2019-04-07,Slovan Liberec,Jablonec,0,0,0.5
2018-2019,Regular season,27,2019-04-07,Bohemians 1905,Mladá Boleslav,0,0,0.5
2018-2019,Regular season,27,2019-04-07,Baník Ostrava,Teplice,3,1,1.0
2018-2019,Regular season,27,2019-04-07,Sigma Olomouc,Karviná,3,2,1.0
2018-2019,Regular season,27,2019-04-07,Slovácko,Viktoria Plzeň,0,1,0.0
2018-2019,Regular season,27,2019-04-08,Sparta Prague,Fastav Zlín,2,0,1.0
2018-2019,Regular season,28,2019-04-12,Teplice,Bohemians 1905,1,2,0.0
2018-2019,Regular season,28,2019-04-13,Opava,Sigma Olomouc,2,1,1.0
2018-2019,Regular season,28,2019-04-13,Karviná,Fastav Zlín,2,0,1.0
2018-2019,Regular season,28,2019-04-13,Slovácko,Příbram,2,0,1.0
2018-2019,Regular season,28,2019-04-13,Viktoria Plzeň,Baník Ostrava,2,1,1.0
2018-2019,Regular season,28,2019-04-14,Jablonec,Dukla Prague,2,1,1.0
2018-2019,Regular season,28,2019-04-14,Slavia Prague,Sparta Prague,1,1,0.5
2018-2019,Regular season,28,2019-04-15,Mladá Boleslav,Slovan Liberec,1,2,0.0
2018-2019,Regular season,29,2019-04-21,Sigma Olomouc,Teplice,2,0,1.0
2018-2019,Regular season,29,2019-04-21,Bohemians 1905,Jablonec,1,0,1.0
2018-2019,Regular season,29,2019-04-21,Sparta Prague,Karviná,1,3,0.0
2018-2019,Regular season,29,2019-04-21,Baník Ostrava,Opava,2,0,1.0
2018-2019,Regular season,29,2019-04-21,Příbram,Viktoria Plzeň,1,1,0.5
2018-2019,Regular season,29,2019-04-21,Dukla Prague,Mladá Boleslav,2,2,0.5
2018-2019,Regular season,29,2019-04-21,Fastav Zlín,Slavia Prague,1,0,1.0
2018-2019,Regular season,29,2019-04-21,Slovan Liberec,Slovácko,3,2,1.0
2018-2019,Regular season,30,2019-04-27,Viktoria Plzeň,Dukla Prague,4,0,1.0
2018-2019,Regular season,30,2019-04-27,Slovácko,Bohemians 1905,1,1,0.5
2018-2019,Regular season,30,2019-04-27,Jablonec,Baník Ostrava,4,0,1.0
2018-2019,Regular season,30,2019-04-27,Mladá Boleslav,Fastav Zlín,3,0,1.0
