Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Regular season,26,2020-06-11,Etar,Dunav Ruse,5,3,1.0
2019-2020,Regular season,26,2020-06-12,Botev Vratsa,Tsarsko Selo,0,1,0.0
2019-2020,Regular season,26,2020-06-13,Cherno More,Vitosha,2,0,1.0
2019-2020,Regular season,26,2020-06-13,Slavia Sofia,Beroe,2,4,0.0
2019-2020,Regular season,26,2020-06-14,Arda,Levski Sofia,1,3,0.0
2019-2020,Regular season,26,2020-06-14,Ludogorets,Botev Plovdiv,2,1,1.0
2019-2020,Regular season,26,2020-06-14,CSKA Sofia,Loko Plovdiv,1,1,0.5
2019-2020,Relegation round,27,2020-06-19,Cherno More,Vitosha,1,0,1.0
2019-2020,Championship round,27,2020-06-20,CSKA Sofia,Levski Sofia,3,3,0.5
2019-2020,Championship round,27,2020-06-20,Loko Plovdiv,Slavia Sofia,0,1,0.0
2019-2020,Relegation round,27,2020-06-20,Botev Plovdiv,Botev Vratsa,3,2,1.0
2019-2020,Championship round,27,2020-06-21,Ludogorets,Beroe,2,1,1.0
2019-2020,Relegation round,27,2020-06-21,Arda,Dunav Ruse,0,2,0.0
2019-2020,Relegation round,27,2020-06-22,Etar,Tsarsko Selo,0,1,0.0
2019-2020,Relegation round,28,2020-06-26,Cherno More,Etar,2,2,0.5
2019-2020,Relegation round,28,2020-06-27,Vitosha,Tsarsko Selo,0,1,0.0
2019-2020,Championship round,28,2020-06-27,Slavia Sofia,CSKA Sofia,0,0,0.5
2019-2020,Championship round,28,2020-06-27,Ludogorets,Loko Plovdiv,6,1,1.0
2019-2020,Championship round,28,2020-06-28,Beroe,Levski Sofia,1,2,0.0
2019-2020,Relegation round,28,2020-06-29,Dunav Ruse,Botev Vratsa,1,3,0.0
2019-2020,Relegation round,28,2020-06-29,Arda,Botev Plovdiv,1,0,1.0
2019-2020,Relegation round,29,2020-07-02,Etar,Vitosha,1,0,1.0
2019-2020,Relegation round,29,2020-07-02,Tsarsko Selo,Cherno More,1,4,0.0
2019-2020,Relegation round,29,2020-07-03,Botev Vratsa,Arda,0,0,0.5
2019-2020,Relegation round,29,2020-07-03,Botev Plovdiv,Dunav Ruse,3,1,1.0
2019-2020,Championship round,29,2020-07-04,Levski Sofia,Slavia Sofia,1,2,0.0
2019-2020,Championship round,29,2020-07-05,Loko Plovdiv,Beroe,0,2,0.0
2019-2020,Championship round,29,2020-07-05,CSKA Sofia,Ludogorets,1,1,0.5
2019-2020,Relegation play-offs,,2020-07-06,Botev Vratsa,Dunav Ruse,0,0,0.5
2019-2020,Quarter-finals,,2020-07-07,Cherno More,Arda,1,0,1.0
2019-2020,Quarter-finals,,2020-07-07,Botev Plovdiv,Etar,1,0,1.0
2019-2020,Championship round,30,2020-07-08,Ludogorets,Levski Sofia,3,0,1.0
2019-2020,Championship round,30,2020-07-08,Beroe,Slavia Sofia,2,0,1.0
2019-2020,Relegation play-offs,,2020-07-09,Tsarsko Selo,Botev Vratsa,0,3,0.0
2019-2020,Championship round,30,2020-07-09,Loko Plovdiv,CSKA Sofia,1,2,0.0
2019-2020,Semi-finals,,2020-07-11,Cherno More,Botev Plovdiv,0,1,0.0
2019-2020,Championship round,31,2020-07-12,Slavia Sofia,Ludogorets,3,1,1.0
2019-2020,Championship round,31,2020-07-12,CSKA Sofia,Beroe,5,0,1.0
2019-2020,Championship round,31,2020-07-12,Levski Sofia,Loko Plovdiv,1,2,0.0
2019-2020,Relegation play-offs,,2020-07-13,Dunav Ruse,Tsarsko Selo,1,0,1.0
2019-2020,Bulgarian 1/2 Relegation/Promotion Playoffs,,2020-07-17,Dunav Ruse,Montana,1,4,0.0
2019-2020,Bulgarian 1/2 Relegation/Promotion Playoffs,,2020-07-18,Tsarsko Selo,Septemvri Sofia,2,0,1.0
2019-2020,Final,,2020-07-19,Slavia Sofia,Botev Plovdiv,2,1,1.0
