Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,26,2018-02-25,Juventus,CFR Cluj,0,2,0.0
2017-2018,Regular season,26,2018-02-25,FCSB,Sepsi,2,0,1.0
2017-2018,Regular season,26,2018-02-27,Concordia,Voluntari,3,1,1.0
2017-2018,Relegation round,1,2018-03-09,Botoșani,Juventus,0,0,0.5
2017-2018,Championship round,1,2018-03-09,CFR Cluj,Poli Iași,2,1,1.0
2017-2018,Relegation round,1,2018-03-10,Concordia,Sepsi,1,1,0.5
2017-2018,Championship round,1,2018-03-10,CS U Craiova,Astra Giurgiu,1,0,1.0
2017-2018,Relegation round,1,2018-03-11,Voluntari,Poli Timișoara,1,0,1.0
2017-2018,Championship round,1,2018-03-11,FCSB,Viitorul,2,1,1.0
2017-2018,Relegation round,1,2018-03-12,Dinamo,Gaz Metan,3,0,1.0
2017-2018,Relegation round,2,2018-03-16,Juventus,Poli Timișoara,1,0,1.0
2017-2018,Championship round,2,2018-03-16,Viitorul,CS U Craiova,0,0,0.5
2017-2018,Relegation round,2,2018-03-17,Gaz Metan,Concordia,2,1,1.0
2017-2018,Championship round,2,2018-03-18,CFR Cluj,FCSB,1,1,0.5
2017-2018,Relegation round,2,2018-03-19,Sepsi,Voluntari,2,2,0.5
2017-2018,Relegation round,3,2018-03-30,Concordia,Botoșani,0,0,0.5
2017-2018,Relegation round,3,2018-03-30,Dinamo,Juventus,1,2,0.0
2017-2018,Relegation round,3,2018-03-31,Voluntari,Gaz Metan,1,2,0.0
2017-2018,Championship round,3,2018-03-31,CS U Craiova,CFR Cluj,0,0,0.5
2017-2018,Championship round,3,2018-04-01,Astra Giurgiu,Viitorul,0,2,0.0
2017-2018,Championship round,3,2018-04-01,FCSB,Poli Iași,1,0,1.0
2017-2018,Relegation round,3,2018-04-02,Poli Timișoara,Sepsi,2,2,0.5
2017-2018,Relegation round,2,2018-04-03,Botoșani,Dinamo,0,1,0.0
2017-2018,Championship round,4,2018-04-06,Poli Iași,Viitorul,0,2,0.0
2017-2018,Relegation round,4,2018-04-07,Botoșani,Voluntari,1,0,1.0
2017-2018,Relegation round,4,2018-04-07,Dinamo,Concordia,3,1,1.0
2017-2018,Championship round,4,2018-04-08,CFR Cluj,Astra Giurgiu,1,1,0.5
2017-2018,Relegation round,4,2018-04-09,Gaz Metan,Poli Timișoara,1,1,0.5
2017-2018,Relegation round,4,2018-04-09,Juventus,Sepsi,0,2,0.0
2017-2018,Championship round,4,2018-04-09,FCSB,CS U Craiova,2,0,1.0
2017-2018,Relegation round,5,2018-04-13,Voluntari,Dinamo,2,4,0.0
2017-2018,Relegation round,5,2018-04-14,Sepsi,Gaz Metan,2,1,1.0
2017-2018,Championship round,5,2018-04-14,CS U Craiova,Poli Iași,4,1,1.0
2017-2018,Relegation round,5,2018-04-15,Concordia,Juventus,2,1,1.0
2017-2018,Championship round,5,2018-04-15,Viitorul,CFR Cluj,1,2,0.0
2017-2018,Relegation round,5,2018-04-16,Poli Timișoara,Botoșani,0,1,0.0
2017-2018,Championship round,5,2018-04-16,Astra Giurgiu,FCSB,0,3,0.0
2017-2018,Relegation round,6,2018-04-20,Dinamo,Poli Timișoara,1,0,1.0
2017-2018,Relegation round,6,2018-04-21,Concordia,Voluntari,0,1,0.0
2017-2018,Championship round,6,2018-04-21,Viitorul,FCSB,2,2,0.5
2017-2018,Relegation round,6,2018-04-22,Juventus,Gaz Metan,0,3,0.0
2017-2018,Championship round,6,2018-04-22,Poli Iași,CFR Cluj,1,1,0.5
2017-2018,Relegation round,6,2018-04-23,Botoșani,Sepsi,2,2,0.5
2017-2018,Championship round,6,2018-04-23,Astra Giurgiu,CS U Craiova,1,0,1.0
2017-2018,Championship round,2,2018-04-26,Poli Iași,Astra Giurgiu,0,3,0.0
2017-2018,Relegation round,7,2018-04-27,Voluntari,Juventus,0,1,0.0
2017-2018,Relegation round,7,2018-04-28,Poli Timișoara,Concordia,1,0,1.0
2017-2018,Championship round,7,2018-04-28,CS U Craiova,Viitorul,3,3,0.5
2017-2018,Relegation round,7,2018-04-29,Gaz Metan,Botoșani,2,1,1.0
2017-2018,Championship round,7,2018-04-29,FCSB,CFR Cluj,1,1,0.5
2017-2018,Relegation round,7,2018-04-30,Sepsi,Dinamo,2,0,1.0
2017-2018,Championship round,7,2018-04-30,Astra Giurgiu,Poli Iași,3,0,1.0
2017-2018,Relegation round,8,2018-05-04,Poli Timișoara,Voluntari,2,3,0.0
2017-2018,Championship round,8,2018-05-04,Viitorul,Astra Giurgiu,1,1,0.5
2017-2018,Relegation round,8,2018-05-05,Juventus,Botoșani,0,3,0.0
2017-2018,Championship round,8,2018-05-05,CFR Cluj,CS U Craiova,1,0,1.0
2017-2018,Relegation round,8,2018-05-06,Gaz Metan,Dinamo,2,3,0.0
2017-2018,Relegation round,8,2018-05-07,Sepsi,Concordia,0,2,0.0
2017-2018,Championship round,8,2018-05-07,Poli Iași,FCSB,1,0,1.0
2017-2018,Relegation round,9,2018-05-11,Poli Timișoara,Juventus,2,0,1.0
2017-2018,Championship round,9,2018-05-11,Viitorul,Poli Iași,1,0,1.0
2017-2018,Relegation round,9,2018-05-12,Voluntari,Sepsi,1,2,0.0
2017-2018,Relegation round,9,2018-05-12,Dinamo,Botoșani,2,0,1.0
2017-2018,Relegation round,9,2018-05-13,Concordia,Gaz Metan,0,0,0.5
2017-2018,Championship round,9,2018-05-13,Astra Giurgiu,CFR Cluj,0,2,0.0
2017-2018,Championship round,9,2018-05-14,CS U Craiova,FCSB,0,1,0.0
2017-2018,Relegation round,10,2018-05-15,Sepsi,Poli Timișoara,3,0,1.0
2017-2018,Relegation round,10,2018-05-15,Juventus,Dinamo,0,2,0.0
2017-2018,Relegation round,10,2018-05-16,Botoșani,Concordia,0,1,0.0
2017-2018,Relegation round,10,2018-05-17,Gaz Metan,Voluntari,1,0,1.0
