Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2017-2018,Regular season,18,2017-12-03,SønderjyskE,Brøndby,1,3,0.0
2017-2018,Regular season,18,2017-12-03,FC Copenhagen,Nordsjælland,1,3,0.0
2017-2018,Regular season,18,2017-12-04,Midtjylland,Odense,3,1,1.0
2017-2018,Regular season,19,2017-12-08,Horsens,SønderjyskE,2,1,1.0
2017-2018,Regular season,19,2017-12-09,Helsingør,Lyngby,2,1,1.0
2017-2018,Regular season,19,2017-12-10,Odense,Silkeborg,1,2,0.0
2017-2018,Regular season,19,2017-12-10,Nordsjælland,Hobro,3,2,1.0
2017-2018,Regular season,19,2017-12-10,Aalborg,FC Copenhagen,1,1,0.5
2017-2018,Regular season,19,2017-12-10,Brøndby,AGF,2,2,0.5
2017-2018,Regular season,19,2017-12-11,Randers,Midtjylland,0,4,0.0
2017-2018,Regular season,20,2018-02-09,Horsens,Midtjylland,0,2,0.0
2017-2018,Regular season,20,2018-02-10,Silkeborg,Aalborg,3,2,1.0
2017-2018,Regular season,20,2018-02-10,FC Copenhagen,Randers,5,1,1.0
2017-2018,Regular season,20,2018-02-11,Odense,Helsingør,6,1,1.0
2017-2018,Regular season,20,2018-02-11,SønderjyskE,Nordsjælland,2,1,1.0
2017-2018,Regular season,20,2018-02-11,Lyngby,Brøndby,1,3,0.0
2017-2018,Regular season,20,2018-02-12,Hobro,AGF,0,1,0.0
2017-2018,Regular season,21,2018-02-16,Nordsjælland,Odense,2,1,1.0
2017-2018,Regular season,21,2018-02-17,Silkeborg,Lyngby,1,1,0.5
2017-2018,Regular season,21,2018-02-18,Helsingør,Horsens,0,2,0.0
2017-2018,Regular season,21,2018-02-18,Randers,Hobro,0,0,0.5
2017-2018,Regular season,21,2018-02-18,Midtjylland,FC Copenhagen,3,1,1.0
2017-2018,Regular season,21,2018-02-18,Aalborg,Brøndby,1,1,0.5
2017-2018,Regular season,21,2018-02-19,AGF,SønderjyskE,0,0,0.5
2017-2018,Regular season,22,2018-02-23,Horsens,Randers,1,1,0.5
2017-2018,Regular season,22,2018-02-24,Lyngby,AGF,0,0,0.5
2017-2018,Regular season,22,2018-02-25,Hobro,Midtjylland,1,2,0.0
2017-2018,Regular season,22,2018-02-25,Aalborg,Nordsjælland,1,1,0.5
2017-2018,Regular season,22,2018-02-25,Brøndby,Helsingør,6,1,1.0
2017-2018,Regular season,22,2018-02-25,FC Copenhagen,Odense,1,0,1.0
2017-2018,Regular season,22,2018-02-26,SønderjyskE,Silkeborg,0,1,0.0
2017-2018,Regular season,23,2018-02-27,Horsens,AGF,1,1,0.5
2017-2018,Regular season,23,2018-02-28,Odense,Lyngby,3,1,1.0
2017-2018,Regular season,23,2018-02-28,Randers,Helsingør,0,0,0.5
2017-2018,Regular season,23,2018-02-28,Hobro,FC Copenhagen,0,2,0.0
2017-2018,Regular season,23,2018-03-01,SønderjyskE,Aalborg,0,1,0.0
2017-2018,Regular season,23,2018-03-01,Nordsjælland,Silkeborg,3,1,1.0
2017-2018,Regular season,23,2018-03-01,Midtjylland,Brøndby,0,1,0.0
2017-2018,Regular season,24,2018-03-03,Lyngby,Hobro,0,3,0.0
2017-2018,Regular season,24,2018-03-04,Helsingør,SønderjyskE,1,2,0.0
2017-2018,Regular season,24,2018-03-04,Randers,Nordsjælland,0,3,0.0
2017-2018,Regular season,24,2018-03-04,AGF,FC Copenhagen,0,1,0.0
2017-2018,Regular season,24,2018-03-04,Brøndby,Odense,2,1,1.0
