Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2016-2017,Ligue 1,12,2016-11-06,Caen,Nice,1,0,1.0
2016-2017,Ligue 1,12,2016-11-06,Metz,Saint-Étienne,0,0,0.5
2016-2017,Ligue 1,12,2016-11-06,Paris S-G,Rennes,4,0,1.0
2016-2017,Ligue 1,13,2016-11-18,Lorient,Monaco,0,3,0.0
2016-2017,Ligue 1,13,2016-11-18,Lille,Lyon,0,1,0.0
2016-2017,Ligue 1,13,2016-11-19,Paris S-G,Nantes,2,0,1.0
2016-2017,Ligue 1,13,2016-11-19,Bastia,Montpellier,1,1,0.5
2016-2017,Ligue 1,13,2016-11-19,Rennes,Angers,1,1,0.5
2016-2017,Ligue 1,13,2016-11-19,Nancy,Dijon,1,0,1.0
2016-2017,Ligue 1,13,2016-11-19,Toulouse,Metz,1,2,0.0
2016-2017,Ligue 1,13,2016-11-20,Guingamp,Bordeaux,1,1,0.5
2016-2017,Ligue 1,13,2016-11-20,Marseille,Caen,1,0,1.0
2016-2017,Ligue 1,13,2016-11-20,Saint-Étienne,Nice,0,1,0.0
2016-2017,Ligue 1,14,2016-11-25,Rennes,Toulouse,1,0,1.0
2016-2017,Ligue 1,14,2016-11-26,Monaco,Marseille,4,0,1.0
2016-2017,Ligue 1,14,2016-11-26,Montpellier,Nancy,0,0,0.5
2016-2017,Ligue 1,14,2016-11-26,Caen,Guingamp,1,1,0.5
2016-2017,Ligue 1,14,2016-11-26,Bordeaux,Dijon,3,2,1.0
2016-2017,Ligue 1,14,2016-11-26,Metz,Lorient,3,3,0.5
2016-2017,Ligue 1,14,2016-11-26,Nantes,Lille,0,0,0.5
2016-2017,Ligue 1,14,2016-11-27,Angers,Saint-Étienne,1,2,0.0
2016-2017,Ligue 1,14,2016-11-27,Nice,Bastia,1,1,0.5
2016-2017,Ligue 1,14,2016-11-27,Lyon,Paris S-G,1,2,0.0
2016-2017,Ligue 1,15,2016-11-29,Lille,Caen,4,2,1.0
2016-2017,Ligue 1,15,2016-11-29,Lorient,Rennes,2,1,1.0
2016-2017,Ligue 1,15,2016-11-29,Dijon,Monaco,1,1,0.5
2016-2017,Ligue 1,15,2016-11-30,Nancy,Metz,4,0,1.0
2016-2017,Ligue 1,15,2016-11-30,Guingamp,Nice,0,1,0.0
2016-2017,Ligue 1,15,2016-11-30,Toulouse,Montpellier,1,0,1.0
2016-2017,Ligue 1,15,2016-11-30,Bastia,Bordeaux,1,1,0.5
2016-2017,Ligue 1,15,2016-11-30,Nantes,Lyon,0,6,0.0
2016-2017,Ligue 1,15,2016-11-30,Saint-Étienne,Marseille,0,0,0.5
2016-2017,Ligue 1,15,2016-11-30,Paris S-G,Angers,2,0,1.0
2016-2017,Ligue 1,16,2016-12-02,Caen,Dijon,3,3,0.5
2016-2017,Ligue 1,16,2016-12-03,Montpellier,Paris S-G,3,0,1.0
2016-2017,Ligue 1,16,2016-12-03,Angers,Lorient,2,2,0.5
2016-2017,Ligue 1,16,2016-12-03,Bordeaux,Lille,0,1,0.0
2016-2017,Ligue 1,16,2016-12-03,Monaco,Bastia,5,0,1.0
2016-2017,Ligue 1,16,2016-12-03,Guingamp,Nantes,2,0,1.0
2016-2017,Ligue 1,16,2016-12-04,Rennes,Saint-Étienne,2,0,1.0
2016-2017,Ligue 1,16,2016-12-04,Marseille,Nancy,3,0,1.0
2016-2017,Ligue 1,16,2016-12-04,Nice,Toulouse,3,0,1.0
2016-2017,Ligue 1,17,2016-12-10,Dijon,Marseille,1,2,0.0
2016-2017,Ligue 1,17,2016-12-10,Bordeaux,Monaco,0,4,0.0
2016-2017,Ligue 1,17,2016-12-10,Bastia,Metz,2,0,1.0
2016-2017,Ligue 1,17,2016-12-10,Nancy,Angers,2,0,1.0
2016-2017,Ligue 1,17,2016-12-10,Toulouse,Lorient,3,2,1.0
2016-2017,Ligue 1,17,2016-12-10,Lille,Montpellier,2,1,1.0
2016-2017,Ligue 1,17,2016-12-11,Lyon,Rennes,1,0,1.0
2016-2017,Ligue 1,17,2016-12-11,Saint-Étienne,Guingamp,1,0,1.0
2016-2017,Ligue 1,17,2016-12-11,Paris S-G,Nice,2,2,0.5
2016-2017,Ligue 1,18,2016-12-16,Angers,Nantes,0,2,0.0
2016-2017,Ligue 1,18,2016-12-17,Guingamp,Paris S-G,2,1,1.0
2016-2017,Ligue 1,18,2016-12-17,Montpellier,Bordeaux,4,0,1.0
2016-2017,Ligue 1,18,2016-12-17,Rennes,Bastia,1,2,0.0
2016-2017,Ligue 1,18,2016-12-17,Lorient,Saint-Étienne,2,1,1.0
2016-2017,Ligue 1,18,2016-12-17,Toulouse,Nancy,1,1,0.5
2016-2017,Ligue 1,18,2016-12-18,Caen,Metz,3,0,1.0
