Season,Round,Wk,Date,Home,Away,Home_Goals,Away_Goals,Result
2019-2020,Ukrainian Premier League,14,2019-11-09,FC Lviv,Vorskla Poltava,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,14,2019-11-10,Zorya Luhansk,FK Kolos,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,14,2019-11-10,Shakhtar,Dynamo Kyiv,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,14,2019-11-10,Olimpik Donetsk,FC Oleksandriya,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,15,2019-11-22,Shakhtar,FC Lviv,4.0,1.0,1.0
2019-2020,Ukrainian Premier League,15,2019-11-23,FC Oleksandriya,Zorya Luhansk,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,15,2019-11-23,SK Dnipro-1,Vorskla Poltava,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,15,2019-11-24,Karpaty Lviv,Olimpik Donetsk,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,15,2019-11-24,FK Kolos,Desna Chernihiv,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,15,2019-11-24,Dynamo Kyiv,FC Mariupol,3.0,0.0,1.0
2019-2020,Ukrainian Premier League,16,2019-11-30,Zorya Luhansk,Karpaty Lviv,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,16,2019-11-30,FC Lviv,SK Dnipro-1,0.0,2.0,0.0
2019-2020,Ukrainian Premier League,16,2019-11-30,Vorskla Poltava,FK Kolos,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,16,2019-12-01,FC Mariupol,Shakhtar,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,16,2019-12-01,Desna Chernihiv,FC Oleksandriya,2.0,0.0,1.0
2019-2020,Ukrainian Premier League,16,2019-12-01,Olimpik Donetsk,Dynamo Kyiv,1.0,3.0,0.0
2019-2020,Ukrainian Premier League,17,2019-12-06,Shakhtar,Olimpik Donetsk,3.0,0.0,1.0
2019-2020,Ukrainian Premier League,17,2019-12-07,FC Oleksandriya,Vorskla Poltava,3.0,0.0,1.0
2019-2020,Ukrainian Premier League,17,2019-12-07,FK Kolos,SK Dnipro-1,4.0,0.0,1.0
2019-2020,Ukrainian Premier League,17,2019-12-08,FC Mariupol,FC Lviv,0.0,0.0,0.5
2019-2020,Ukrainian Premier League,17,2019-12-08,Karpaty Lviv,Desna Chernihiv,2.0,6.0,0.0
2019-2020,Ukrainian Premier League,17,2019-12-08,Dynamo Kyiv,Zorya Luhansk,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,18,2019-12-14,FC Lviv,FK Kolos,3.0,2.0,1.0
2019-2020,Ukrainian Premier League,18,2019-12-14,Zorya Luhansk,Shakhtar,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,18,2019-12-14,Olimpik Donetsk,FC Mariupol,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,18,2019-12-15,Desna Chernihiv,Dynamo Kyiv,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,18,2019-12-15,Vorskla Poltava,Karpaty Lviv,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,18,2019-12-15,SK Dnipro-1,FC Oleksandriya,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,19,2020-02-22,FC Mariupol,Zorya Luhansk,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,19,2020-02-22,Dynamo Kyiv,Vorskla Poltava,2.0,1.0,1.0
2019-2020,Ukrainian Premier League,19,2020-02-23,FC Oleksandriya,FK Kolos,1.0,2.0,0.0
2019-2020,Ukrainian Premier League,19,2020-02-23,Karpaty Lviv,SK Dnipro-1,1.0,1.0,0.5
2019-2020,Ukrainian Premier League,19,2020-02-23,Shakhtar,Desna Chernihiv,1.0,0.0,1.0
2019-2020,Ukrainian Premier League,19,2020-02-23,Olimpik Donetsk,FC Lviv,0.0,1.0,0.0
2019-2020,Ukrainian Premier League,20,2020-02-28,SK Dnipro-1,Dynamo Kyiv,3.0,1.0,1.0
2019-2020,Ukrainian Premier League,20,2020-02-29,Desna Chernihiv,FC Mariupol,4.0,0.0,1.0
2019-2020,Ukrainian Premier League,20,2020-02-29,FC Lviv,FC Oleksandriya,1.0,1.0,0.5
